#{"t_start": 1782713038.9719222, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,581,45.245255
0.0,298,48.500996
0.0,855,57.947979
0.0,761,66.335445
0.0,1187,79.797709
0.0,1021,90.92864
0.0,368,95.033317
0.0,501,100.549582
0.0,649,107.808651
0.0,471,567.91855
0.0,386,1019.406363
0.0,628,1748.711333
0.0,266,2028.997932
0.0,638,2621.398505
0.0,661,3161.901549
0.0,286,3496.939384
0.0,895,4389.423082
0.0,293,4661.728526
0.0,1249,5914.342041
0.0,604,6520.399414
0.0,535,7060.022364
0.0,414,7618.00564
0.0,432,8036.265576
0.0,484,8581.217719
0.0,849,9560.811369
0.0,937,10576.809308
0.0,1124,11873.473495
0.0,388,12288.802886
0.0,698,13009.670967
0.0,443,13556.843739
0.0,354,13821.30754
0.0,747,14739.120209
0.0,641,15423.635378
0.0,600,16030.600953
0.0,854,17121.581224
0.0,678,17993.170281
0.0,421,18393.615448
0.0,392,18813.31782
0.0,505,19396.496444
0.0,721,20296.222325
0.0,400,20682.903512
