#{"t_start": 1782713039.979858, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,253,40.628719
0.0,883,50.317711
0.0,876,59.988462
0.0,508,65.600714
0.0,344,69.728828
0.0,338,73.697482
0.0,442,78.331391
0.0,421,83.021774
0.0,519,88.685679
0.0,496,94.137391
0.0,318,97.729088
0.0,461,102.894151
0.0,414,107.548385
0.0,708,865.708039
0.0,679,1608.593369
0.0,348,2026.610506
0.0,1096,3045.327519
0.0,309,3303.22861
0.0,330,3638.519465
0.0,431,4023.10303
0.0,634,4661.702205
0.0,741,5431.59285
0.0,618,6048.020673
0.0,257,6331.47049
0.0,470,6789.506676
0.0,510,7347.695824
0.0,1034,8422.708014
0.0,425,8999.115087
0.0,417,9425.905792
0.0,426,9855.215815
0.0,1554,11605.930632
0.0,446,12150.496206
0.0,225,12430.696826
0.0,794,13279.212839
0.0,182,13423.188138
0.0,647,14103.793086
0.0,539,14750.797085
0.0,394,15290.046684
0.0,343,15534.598011
0.0,249,15774.12018
0.0,344,16208.001158
0.0,468,16758.961579
0.0,506,17295.223607
0.0,254,17725.192124
0.0,1086,18963.011423
0.0,664,19692.128611
0.0,583,20418.117362
0.0,558,20949.49499
