#{"t_start": 1782713040.7775028, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,179,39.329353
0.0,407,43.517363
0.0,220,45.899159
0.0,348,49.89239
0.0,398,54.241531
0.0,717,62.038815
0.0,402,66.616976
0.0,441,71.732284
0.0,278,74.804568
0.0,458,80.018995
0.0,376,84.017671
0.0,371,87.956744
0.0,321,91.602667
0.0,667,98.914241
0.0,734,107.034684
0.0,795,1011.296073
0.0,415,1459.39113
0.0,516,2025.629323
0.0,724,2714.522419
0.0,257,2942.296992
0.0,716,3509.810045
0.0,318,3883.90591
0.0,422,4279.391543
0.0,373,4661.096152
0.0,1178,5776.571042
0.0,561,6509.105335
0.0,560,7049.221047
0.0,568,7624.10014
0.0,304,8030.619709
0.0,575,8581.116343
0.0,335,9001.007754
0.0,885,9992.317238
0.0,352,10287.007479
0.0,279,10713.325119
0.0,1183,12019.593597
0.0,1250,13414.893511
0.0,994,14448.908159
0.0,526,15138.303672
0.0,244,15302.900251
0.0,432,15769.442476
0.0,277,16030.820086
0.0,627,16762.122095
0.0,329,17130.418972
0.0,337,17719.338833
0.0,297,18002.417408
0.0,755,18814.511009
0.0,1756,20821.811383
