#{"t_start": 1782713039.1923826, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,375,42.781868
0.0,490,48.125093
0.0,486,53.599497
0.0,324,57.192384
0.0,578,63.484593
0.0,519,69.317616
0.0,654,76.728883
0.0,805,85.701476
0.0,346,89.391712
0.0,222,91.901513
0.0,373,95.991341
0.0,456,100.990111
0.0,552,718.679179
0.0,700,1465.1913
0.0,249,1753.783554
0.0,366,2169.915914
0.0,440,2609.594573
0.0,503,2954.695561
0.0,407,3417.397043
0.0,501,3883.027174
0.0,659,4545.307308
0.0,530,5065.100357
0.0,447,5442.273366
0.0,223,5672.903449
0.0,576,6332.300687
0.0,440,6789.801479
0.0,297,7057.679757
0.0,409,7617.075104
0.0,515,8155.300829
0.0,594,8722.69163
0.0,904,9706.693039
0.0,465,10282.286292
0.0,782,11163.479178
0.0,545,11740.178615
0.0,432,12287.880396
0.0,388,12715.117501
0.0,684,13422.276905
0.0,637,14101.521314
0.0,735,15003.591708
0.0,478,15427.701674
0.0,1116,16624.997894
0.0,323,17123.380928
0.0,502,17854.048568
0.0,267,18124.893598
0.0,559,18670.054759
0.0,510,19252.813297
0.0,334,19686.395823
0.0,503,20292.076863
