#{"t_start": 1782713041.1747422, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,880,46.312856
0.0,462,51.5052
0.0,1301,65.903472
0.0,403,70.618064
0.0,576,76.934213
0.0,748,85.203194
0.0,572,91.510538
0.0,326,95.141338
0.0,324,98.627324
0.0,526,104.51494
0.0,324,410.531759
0.0,783,1326.009979
0.0,1061,2418.946085
0.0,489,2830.008006
0.0,270,3058.826804
0.0,483,3508.037799
0.0,588,4151.481984
0.0,413,4546.36722
0.0,443,4957.898475
0.0,396,5427.893509
0.0,433,5773.632178
0.0,643,6513.692522
0.0,658,7195.323287
0.0,589,7890.547652
0.0,811,8719.212974
0.0,424,9143.09379
0.0,466,9702.706054
0.0,320,9997.943608
0.0,289,10423.398715
0.0,553,11009.094282
0.0,1264,12434.923991
0.0,831,13287.29338
0.0,677,14096.796243
0.0,1043,15293.734678
0.0,615,15880.620579
0.0,384,16354.622118
0.0,294,16615.816766
0.0,624,17481.139376
0.0,433,17996.014892
0.0,675,18675.016104
0.0,722,19541.160522
0.0,680,20306.422133
0.0,329,20682.406963
0.0,300,20951.824643
