#{"t_start": 1782659225.771072, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,218,61.47183
0.0,622,82.540376
0.0,225,85.1457
0.0,535,90.839005
0.0,340,94.533931
100.0,2647,122.759168
0.0,1159,134.924833
0.0,544,141.065994
0.0,971,1067.923446
0.0,249,1339.899583
0.0,458,1853.352854
0.0,307,2134.514197
0.0,359,2540.324673
0.0,473,3113.930808
0.0,460,3565.806588
0.0,455,4121.808152
0.0,472,4568.996737
0.0,253,4861.025167
0.0,353,5291.156991
0.0,382,5727.902707
0.0,410,6161.432659
0.0,559,6883.722513
0.0,497,7463.432359
0.0,378,7761.814957
0.0,404,8331.315365
0.0,304,8625.134691
0.0,242,8908.397786
0.0,345,9340.927279
0.0,334,9633.498754
0.0,296,10068.830465
0.0,374,10365.020156
0.0,233,10650.804428
0.0,385,11078.40769
0.0,360,11505.094988
0.0,414,11950.732987
0.0,673,12808.021659
0.0,426,13254.621607
0.0,298,13547.906628
0.0,709,14422.314148
0.0,256,14714.920634
0.0,242,14997.397646
0.0,302,15290.511403
0.0,418,15727.502412
0.0,251,16014.30768
0.0,201,16295.13752
0.0,253,16582.511531
0.0,588,17175.552644
0.0,677,18042.917546
0.0,298,18333.201831
0.0,287,18623.92344
0.0,275,18903.179586
0.0,475,19497.51476
0.0,422,19858.526803
0.0,204,20046.216242
0.0,342,20407.197446
0.0,385,20794.255911
0.0,274,21072.028844
0.0,348,21485.44374
0.0,204,21636.940804
0.0,398,22035.996344
0.0,346,22453.508668
0.0,271,22739.015181
0.0,219,23017.198819
0.0,451,23453.108806
0.0,215,23742.430125
0.0,431,24184.499442
