#{"t_start": 1782659226.275704, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,1355,87.713263
0.0,206,89.927585
0.0,323,93.358258
0.0,537,99.110316
0.0,508,104.350894
0.0,621,111.217489
0.0,412,115.593282
0.0,529,121.538463
0.0,955,131.331018
0.0,685,138.737144
0.0,513,666.721726
0.0,430,1066.532342
0.0,299,1340.53648
0.0,235,1600.095841
0.0,200,1852.805996
0.0,261,2130.791129
0.0,295,2386.524096
0.0,534,2967.903259
0.0,478,3564.002843
0.0,421,3981.502182
0.0,472,4563.898423
0.0,500,5144.810991
0.0,228,5431.799171
0.0,452,5870.198759
0.0,231,6158.107275
0.0,273,6447.902012
0.0,621,7180.723362
0.0,407,7613.496104
0.0,365,8046.143866
0.0,464,8489.004051
0.0,312,8908.798811
0.0,245,9201.002385
0.0,287,9487.194381
0.0,327,9921.407704
0.0,564,10503.6317
0.0,741,11358.289329
0.0,274,11653.910998
0.0,580,12373.413012
0.0,520,12954.005643
0.0,264,13250.204247
0.0,334,13547.893353
0.0,337,13987.999271
0.0,515,14570.305989
0.0,246,14855.596433
0.0,214,15004.97624
0.0,521,15720.590802
0.0,405,16150.296052
0.0,377,16581.195665
0.0,176,16733.816571
0.0,235,17026.627525
0.0,459,17471.206448
0.0,366,17903.025934
0.0,397,18335.899711
0.0,361,18766.890441
0.0,324,19176.727994
0.0,377,19636.59517
0.0,358,19944.417521
0.0,290,20147.733227
0.0,205,20256.228728
0.0,512,20805.600855
0.0,249,21080.214083
0.0,298,21485.710782
0.0,487,21930.441653
0.0,318,22316.504214
0.0,456,22872.106091
0.0,363,23168.004934
0.0,412,23736.624077
0.0,389,24173.504617
0.0,510,24749.722762
0.0,215,24899.924902
