advmean,advstd,best_ret,epcount,eprew,ev_ext,ev_int,mem_available,n_rooms,n_updates,opt_approxkl,opt_auxloss,opt_clipfrac,opt_ent,opt_featvar,opt_gradnorm,opt_maxfeat,opt_maxkl,opt_pg,opt_tot,opt_vf,reset_counter,retextmean,retextstd,retintmean,retintstd,rewintmax_norm,rewintmax_unnorm,rewintmean_norm,rewintmean_unnorm,rewintstd_unnorm,rooms,tcount,time_elapsed,tps,vpredextmean,vpredextstd,vpredintmean,vpredintstd,wait_step,wait_update,eplen,eprooms,rewtotal
0.64420915,0.26581156,-inf,0,nan,-0.9289263486862183,-0.0005630254745483398,913575825408,0,1,0.0036919704,0.45572785,0.2763672,2.8867698,0.33232594,3.846332,4.0390873,0.019346073,-0.64738876,-0.07548615,0.11906153,0,0.00064124045,0.00013153533,0.6457517,0.2657741,0.1051083,2.0971336,0.044765003,0.89315677,0.4094592,[],0,269.349009513855,15.207078654077536,0.0007537937,0.00022931382,0.0013175142,0.00028430787,158.68476581573486,142.04626035690308,,,
0.29717374,0.14126074,0.0,2,0.0,-1.0,-0.029771804809570312,900752879616,1,2,0.0054775667,0.3219946,0.23925781,2.8741693,0.2616285,2.7849324,4.057616,0.07379588,-0.2652113,0.07679421,0.022885084,0,-0.001553429,0.00017003059,0.58181036,0.13918133,0.058793053,1.0542626,0.023031984,0.4130039,0.20714833,[1],451,408.66404485702515,29.400987261180834,-0.0018046753,0.0002710113,0.28513914,0.017062305,139.30905318260193,123.86243557929993,225.5,1.0,0.0
0.2422047,0.14767501,0.0,9,0.0,-0.21384453773498535,-0.034937262535095215,884221059072,1,3,0.00086550403,0.35815543,0.0,2.8742177,0.33809146,0.6623865,3.8977304,0.005168712,-0.27180588,0.097133756,0.013658446,0,-0.0028144466,0.00037664644,0.943099,0.14509894,0.061101403,0.9542375,0.023430994,0.36592832,0.19880122,[1],2731,520.5849025249481,36.59728838187525,-0.0033595983,0.00024426397,0.7019846,0.024400407,111.91396594047546,101.21853494644165,303.44444444444446,1.0,0.0
0.21760392,0.13339275,0.0,17,0.0,-0.04051971435546875,-0.06583797931671143,888508178432,1,4,0.0025603187,0.30389565,0.13378906,2.8709,0.3067359,2.4837108,4.8336153,0.011426656,-0.19712299,0.119323984,0.01542222,0,-0.0026099496,0.00037493673,1.2359486,0.12910517,0.059615154,0.8634237,0.02465785,0.35712683,0.17835395,[1],6261,635.2700350284576,35.715180245295265,-0.0031021254,0.00020851592,1.0193291,0.026732685,114.69797229766846,102.8078100681305,368.29411764705884,1.0,0.0
0.15872894,0.12176078,0.0,29,0.0,-0.016710400581359863,-0.08454489707946777,883176132608,1,5,0.0022016428,0.31445706,0.08203125,2.867942,0.3573221,1.124849,4.886947,0.005595499,-0.18146628,0.13817224,0.008049397,0,-0.0017221305,0.00029040265,1.484274,0.1169226,0.060917344,0.83358157,0.023764739,0.32519227,0.16269974,[1],12829,789.2667047977448,26.597977404728482,-0.0020591703,0.00016981924,1.3262192,0.032288432,153.98306679725647,139.70794773101807,442.37931034482756,1.0,0.0
0.09068982,0.12250223,0.0,38,0.0,-0.048187255859375,-0.04366457462310791,880725716992,1,6,0.0016017744,0.24392359,0.04296875,2.8661695,0.2856698,1.7077905,4.0461903,0.009341804,-0.056976676,0.19240904,0.008328305,0,-0.0009092295,0.0001452888,1.6465881,0.119922645,0.0596549,0.7909516,0.021633117,0.28682888,0.15322296,[1],16741,905.9639980792999,35.099356787743865,-0.0010812354,0.00011047901,1.5562421,0.02398482,116.68989825248718,101.10294389724731,440.55263157894734,1.0,0.0
0.04421089,0.10910378,0.0,45,0.0,-0.21007883548736572,-0.03085148334503174,879157637120,1,7,0.0011795282,0.23230651,0.087890625,2.8639982,0.29737127,0.6562206,4.474061,0.0070396136,-0.041142896,0.19409373,0.005794124,0,-0.00083963695,0.00011889783,1.7249374,0.1074704,0.056817766,0.7457222,0.019777087,0.25957045,0.13902606,[1],19035,1033.1803441047668,32.19711996068248,-0.0009972928,9.117859e-05,1.681042,0.016360018,127.19922065734863,110.81735968589783,423.0,1.0,0.0
0.038376715,0.10625466,0.0,54,0.0,-0.18422114849090576,-0.028130650520324707,878099357696,1,8,0.0016770128,0.22837912,0.0703125,2.857062,0.3210025,0.8952768,4.0907283,0.014874488,-0.01799227,0.21345907,0.005929294,0,-0.0008454137,0.00013201791,1.7867299,0.10481527,0.057303656,0.7477689,0.019930502,0.26007783,0.13924612,[1],23623,1170.8757395744324,29.74681983080299,-0.0010151872,8.969248e-05,1.7486929,0.014468016,137.69407176971436,125.80618596076965,437.462962962963,1.0,0.0
-0.0019042091,0.09822052,0.0,62,0.0,0.0027858614921569824,-0.008662223815917969,872751529984,1,9,0.00180279,0.2046743,0.091796875,2.8451376,0.31327844,0.31494212,4.0430927,0.011815418,0.012244862,0.21761928,0.0035452594,0,-0.0035772265,0.0004996742,1.7958591,0.097816676,0.05958342,0.7727262,0.017828077,0.23120898,0.12899008,[1],27376,1305.469425201416,30.432333280276513,-0.0043182857,9.168513e-05,1.7992454,0.010742539,134.52209496498108,120.19475221633911,441.5483870967742,1.0,0.0
0.016865691,0.08650248,0.0,77,0.0,0.01967686414718628,-0.03201758861541748,874526846976,1,10,0.0013237763,0.2234911,0.0,2.836029,0.35247797,0.24673666,4.259386,0.004893844,-0.011006038,0.21396624,0.004317197,0,-0.0014569608,0.00028116532,1.8142668,0.08518963,0.055218585,0.70976245,0.018954638,0.24363703,0.1198266,[1],34556,1441.5524067878723,30.099281666763744,-0.0018005337,0.0001000979,1.7980882,0.011141625,136.08918142318726,121.22883701324463,448.7792207792208,1.0,0.0
0.0030036974,0.073209256,0.0,86,0.0,0.03707164525985718,-0.008153200149536133,873732120576,1,11,0.0014265436,0.22160298,0.022460938,2.8283463,0.38562918,0.17232133,3.9888783,0.006585987,-0.0121873375,0.2094065,0.002819209,0,-0.0013040471,0.00018894082,1.8175482,0.07295565,0.05306241,0.67242754,0.01834907,0.23252656,0.11059925,[1],38844,1566.0823140144348,32.8916972562259,-0.001572755,7.335886e-05,1.8150818,0.006417178,124.51532626152039,112.85757541656494,451.6744186046512,1.0,0.0
-0.005355251,0.07583969,0.0,103,0.0,0.01019287109375,-0.009465336799621582,871222497280,1,12,0.0008780076,0.23384658,0.0,2.8270779,0.4109834,0.82704115,4.1613903,0.0040234714,-0.029219653,0.20571487,0.003915021,0,-0.0009940267,0.00020468154,1.81266,0.07554645,0.050114024,0.6261988,0.017747892,0.22176844,0.10923027,[1],44421,1703.1531608104706,29.882357366573864,-0.0012375563,8.5637184e-05,1.8185023,0.006847285,137.06735801696777,122.27239775657654,437.03,1.0,0.0
-0.024561115,0.07182857,0.0,113,0.0,-0.004605770111083984,0.0017554163932800293,869195857920,1,13,0.00085109123,0.17814429,0.0,2.8267732,0.3506645,0.32656762,3.919235,0.0033701588,0.04561402,0.22301392,0.0020823895,0,-0.0009545132,0.00015472076,1.7893873,0.07194233,0.055078354,0.6827584,0.016505633,0.20460597,0.10009773,[1],47449,1820.727769613266,34.837454840768835,-0.0011635565,6.8649126e-05,1.8143666,0.0043910663,117.5682544708252,101.75453543663025,431.03,1.0,0.0
-0.027399447,0.07302479,0.0,123,0.0,-0.0726250410079956,0.0034610629081726074,867570606080,1,14,0.0011526647,0.1884548,0.0,2.8213935,0.38382113,0.33508444,4.0555363,0.005019154,0.02145553,0.20868154,0.0015925943,0,-0.00085342256,0.0001264469,1.756711,0.07319098,0.050235808,0.6196048,0.01584653,0.19544998,0.10038012,[1],50883,1960.6697623729706,29.26926926390749,-0.0010279412,7.174859e-05,1.7844594,0.0038345829,139.9353244304657,127.66921997070312,414.02,1.0,0.0
-0.029149119,0.074850686,0.0,135,0.0,-0.20499122142791748,0.011464059352874756,867980935168,1,15,0.0012169064,0.16911253,0.045898438,2.8123112,0.37772906,0.06900892,4.1292157,0.005404266,0.04271806,0.2108186,0.0018003158,0,-0.0006377207,0.00011523535,1.7236038,0.075352706,0.048539687,0.59605265,0.0155772725,0.1912842,0.095945954,[1],54348,2098.1663978099823,29.789819904203082,-0.0007807488,8.1552884e-05,1.7530391,0.0038494961,137.5031373500824,120.20192861557007,387.42,1.0,0.0
-0.039988033,0.06117096,0.0,151,0.0,-0.6898056268692017,0.006165206432342529,866353631232,1,16,0.0011438892,0.14859706,0.0,2.8102367,0.36966646,0.19613068,3.9531863,0.0034266296,0.06119269,0.20804621,0.0010666995,0,-0.00035614395,7.970331e-05,1.6748325,0.061401337,0.043428015,0.53134865,0.014407638,0.17627974,0.088319995,[1],60182,2219.7730474472046,33.6823695467826,-0.00043302198,9.455464e-05,1.7149743,0.004161716,121.59096074104309,104.5362389087677,378.98,1.0,0.0
-0.03551019,0.059783526,0.0,163,0.0,-1.0,0.002141714096069336,862485237760,1,17,0.00097411114,0.16941819,0.06738281,2.8120074,0.37519297,0.42991313,3.7429905,0.007125934,0.027894534,0.19618818,0.0016874631,0,-0.00016683878,4.3788616e-05,1.6305249,0.059866227,0.044815548,0.5465503,0.014260714,0.17391726,0.08448506,[1],63960,2351.2676043510437,31.149577480958403,-0.00019863638,9.3260365e-05,1.6660986,0.003387711,131.48280000686646,115.9791853427887,359.17,1.0,0.0
-0.03853605,0.07094576,0.0,175,0.0,-1.0,0.007158398628234863,862223319040,1,18,0.0013629056,0.15544096,0.08105469,2.8077135,0.36745346,0.30499443,3.8018968,0.0060004704,0.03861934,0.19350076,0.0022481706,0,-0.00011127763,3.8377395e-05,1.5856869,0.071207225,0.042185016,0.51317585,0.013626056,0.1657594,0.089114174,[1],67457,2505.558942556381,26.547180714220744,-0.00013407177,9.653465e-05,1.6242687,0.0031463301,154.2944085597992,135.96942138671875,340.24,1.0,0.0
-0.035248134,0.055131778,0.0,187,0.0,-1.0,0.00046312808990478516,861749358592,1,19,0.0017196818,0.1486372,0.026367188,2.7943301,0.3725921,0.16874059,3.7619438,0.014374845,0.04012633,0.18736494,0.0013957273,0,-7.8852565e-05,4.130614e-05,1.5418196,0.055142544,0.05347436,0.64887947,0.013307007,0.16147262,0.07896076,[1],71485,2655.870510339737,27.250064661897984,-9.288636e-05,9.930053e-05,1.5770957,0.0030913714,150.29589891433716,132.3069818019867,322.83,1.0,0.0
-0.029638309,0.059439704,0.0,196,0.0,-1.0,0.006674766540527344,861199900672,1,20,0.0023345747,0.16277343,0.21191406,2.7731009,0.38575807,0.535752,3.7983744,0.009575773,0.015446595,0.17888422,0.0034372953,0,-6.458296e-05,3.4254706e-05,1.5038509,0.059639044,0.042996444,0.5196129,0.013397458,0.16190857,0.079940096,[1],75015,2796.1490688323975,29.19905077344158,-7.522595e-05,7.749735e-05,1.5335106,0.0023501012,140.2766613960266,122.48341417312622,333.79,1.0,0.0
-0.034628816,0.05595451,0.0,210,0.0,-1.0,0.007021784782409668,853930782720,1,21,0.0012435117,0.13437736,0.0,2.7798703,0.3594138,0.12128177,4.2379017,0.004287478,0.05048357,0.183114,0.001032947,0,-7.123487e-05,3.3672502e-05,1.4633179,0.056155253,0.042876925,0.51663804,0.01255152,0.15123737,0.07481424,[1],79875,2932.383868455887,30.0657338444456,-8.2432685e-05,8.462611e-05,1.4979692,0.0027850617,136.22742080688477,119.21192169189453,333.66,1.0,0.0
-0.030328533,0.056366988,0.0,220,0.0,-1.0,0.01019817590713501,849181220864,1,22,0.0011798652,0.13803636,0.0390625,2.783732,0.39414108,0.0776344,3.8326716,0.0061844275,0.03664741,0.17347284,0.0015728072,0,-5.9778333e-05,3.0491123e-05,1.4262536,0.056646377,0.04163789,0.49994236,0.012492464,0.1499959,0.07522016,[1],83618,3082.060413837433,27.365677074408822,-7.037654e-05,7.734578e-05,1.4566033,0.0023514542,149.67978501319885,131.4999439716339,334.05,1.0,0.0
-0.032424532,0.05932479,0.0,232,0.0,-1.0,0.007852315902709961,847962890240,1,23,0.001787553,0.14737484,0.0546875,2.7849603,0.40837514,0.48946673,4.034606,0.006312492,0.018724874,0.16474879,0.0014340369,0,-5.4215354e-05,3.5612615e-05,1.3878413,0.05954853,0.038087342,0.45586327,0.01200127,0.1436419,0.074291974,[1],88121,3230.3116297721863,27.62877880543251,-6.565312e-05,8.3375315e-05,1.4202887,0.0025793768,148.24108457565308,128.93592882156372,345.25,1.0,0.0
-0.029978048,0.0551561,0.0,246,0.0,-1.0,0.006625711917877197,846753030144,1,24,0.0018097989,0.13791989,0.14453125,2.7802815,0.37417287,0.3596733,3.972788,0.008173489,0.023428205,0.16009939,0.0015315803,0,-4.803526e-05,3.1491727e-05,1.3534132,0.055322383,0.03749053,0.44742307,0.011790973,0.14071697,0.073507,[1],92917,3382.6669578552246,26.88452046566998,-5.7315465e-05,7.470602e-05,1.3834099,0.0024010907,152.34841179847717,131.9646725654602,345.89,1.0,0.0
-0.025465786,0.056097746,0.0,258,0.0,-1.0,0.010119259357452393,853401341952,1,25,0.0015862477,0.13077924,0.0,2.768334,0.40162268,0.24039964,4.1016684,0.0047873897,0.024015337,0.15340935,0.0013831061,0,-3.084245e-05,2.9956049e-05,1.3223059,0.056370895,0.05294639,0.6298336,0.011669093,0.13881186,0.0700542,[1],96410,3528.4681301116943,28.093053050177403,-3.3322918e-05,6.9996466e-05,1.3477767,0.0022187168,145.80293726921082,125.89534163475037,341.37,1.0,0.0
-0.024397317,0.052476373,0.0,267,0.0,-1.0,0.015418291091918945,852240703488,1,26,0.00066884607,0.13198067,0.0,2.7623563,0.4093535,0.23472533,4.6088185,0.0038189807,0.019799441,0.15054958,0.0015318127,0,1.6927279e-05,3.315805e-05,1.2916496,0.05285894,0.03365736,0.39885256,0.011588584,0.13732913,0.06648253,[1],99536,3671.6680822372437,28.603361279834814,2.0556134e-05,7.229568e-05,1.3160396,0.0019927963,143.12165117263794,122.40545558929443,343.87,1.0,0.0
-0.03325809,0.047542226,0.0,280,0.0,-1.0,0.020283102989196777,850694950912,1,27,0.0010333132,0.11573991,0.06542969,2.7563808,0.34555835,0.099364825,4.221682,0.005354238,0.04018621,0.15441437,0.0012446275,0,7.826567e-05,3.622152e-05,1.2558763,0.048008762,0.029276157,0.34572837,0.010741027,0.12684307,0.06243454,[1],104082,3810.9792370796204,29.401809292618008,9.529543e-05,7.983903e-05,1.2891004,0.0024628402,139.30774688720703,119.52823114395142,350.09,1.0,0.0
-0.03471435,0.04236702,0.0,292,0.0,-1.0,0.01602351665496826,849242116096,1,28,0.0009526561,0.11293499,0.0,2.7586975,0.36577395,0.12939557,4.523458,0.0027480924,0.038716372,0.14985335,0.00096067844,0,0.00013833439,4.325267e-05,1.2228117,0.04267306,0.032023314,0.37736535,0.010220195,0.1204356,0.05956096,[1],109036,3942.671301841736,31.102861000530968,0.00017040745,8.2565915e-05,1.2574619,0.002255921,131.75377941131592,117.32706212997437,356.68,1.0,0.0
-0.034157068,0.045709345,0.0,302,0.0,-1.0,0.018030762672424316,848054341632,1,29,0.0019461726,0.10745669,0.08203125,2.7677045,0.36502913,0.15291353,3.7297463,0.00495985,0.036931038,0.14263566,0.0010156301,0,0.00012644117,3.3852975e-05,1.1835225,0.046095304,0.038341332,0.45122612,0.009857606,0.11601082,0.060363457,[1],112320,4089.387667655945,27.917812603421517,0.00015456449,6.0048085e-05,1.2176232,0.0020173285,146.64943146705627,124.44985771179199,354.79,1.0,0.0
-0.022679191,0.045118324,0.0,311,0.0,-1.0,0.01958000659942627,848249663488,1,30,0.002020827,0.119495526,0.16503906,2.7674847,0.40246445,0.3377008,4.3339224,0.008809957,0.014976657,0.13266058,0.0009558801,0,4.6964524e-05,3.4590725e-05,1.1557426,0.04554051,0.035719495,0.4194069,0.010215352,0.1199454,0.059375472,[1],115676,4236.669826745987,27.810564601350514,5.2915762e-05,6.0685776e-05,1.1784099,0.001912593,147.28007650375366,125.8954668045044,355.05,1.0,0.0
-0.02343161,0.045403052,0.0,326,0.0,-1.0,0.0381733775138855,849251704832,1,31,0.0012049772,0.110132866,0.0,2.7607086,0.3899885,0.066368654,4.1688666,0.004099452,0.023401015,0.13188165,0.0011084876,0,0.00016037821,4.2686337e-05,1.1273999,0.046260376,0.03916956,0.4588789,0.009800062,0.114809595,0.058729526,[1],121184,4381.875843286514,28.208197503520374,0.00020030304,7.676563e-05,1.1507516,0.0025738557,145.2548849582672,123.56298446655273,355.32,1.0,0.0
