#{"t_start": 1782659226.9651518, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,644,79.349634
0.0,261,82.230771
0.0,580,88.419685
0.0,400,92.683424
0.0,388,96.843575
0.0,363,100.801141
0.0,435,105.166966
0.0,471,110.455204
0.0,494,115.861086
0.0,452,120.8253
0.0,295,123.81324
0.0,247,126.229745
0.0,437,130.848348
0.0,435,135.603421
0.0,382,139.822067
0.0,544,667.606384
0.0,463,1068.668189
0.0,283,1472.536635
0.0,315,1736.467448
0.0,202,1992.101824
0.0,292,2252.876261
0.0,250,2539.617445
0.0,269,2830.3453
0.0,330,3261.048448
0.0,285,3561.406894
0.0,517,4123.413569
0.0,259,4416.102192
0.0,512,5000.735788
0.0,234,5285.237474
0.0,366,5721.133956
0.0,318,6012.348403
0.0,374,6446.411505
0.0,355,6882.710021
0.0,208,7041.606022
0.0,402,7475.371844
0.0,380,7909.936485
0.0,250,8198.007207
0.0,210,8482.424219
0.0,399,8909.803317
0.0,256,9204.31281
0.0,213,9483.627421
0.0,498,10069.109
0.0,344,10363.523149
0.0,593,11074.120413
0.0,211,11355.02198
0.0,248,11647.677657
0.0,378,12084.840033
0.0,421,12521.819057
0.0,170,12670.728231
0.0,396,13109.509535
0.0,611,13845.833274
0.0,192,14127.811724
0.0,305,14422.627547
0.0,519,15000.444331
0.0,446,15436.824254
0.0,359,15868.623929
0.0,522,16440.419701
0.0,242,16734.239982
0.0,303,17170.315535
0.0,252,17466.040095
0.0,475,17902.03363
0.0,383,18334.116935
0.0,288,18760.437472
0.0,324,19043.904952
0.0,541,19641.816332
0.0,218,19853.129835
0.0,421,20153.724071
0.0,357,20536.879287
0.0,262,20799.419448
0.0,303,21081.920626
0.0,371,21495.004916
0.0,244,21785.80109
0.0,455,22313.201927
0.0,211,22459.360182
0.0,200,22737.713087
0.0,614,23446.604626
0.0,621,24173.309997
0.0,224,24328.310563
0.0,254,24613.518238
0.0,240,24899.329564
