#{"t_start": 1782659224.7786572, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,343,70.232696
0.0,718,86.109111
0.0,265,88.91782
0.0,558,94.854857
0.0,411,99.219303
0.0,361,103.109749
0.0,719,111.011576
0.0,804,119.599051
0.0,556,125.310291
0.0,668,132.398245
0.0,433,137.003891
0.0,474,142.22958
0.0,578,671.417821
0.0,408,1069.417741
0.0,278,1343.818126
0.0,212,1601.535011
0.0,348,1996.094308
0.0,358,2384.32652
0.0,385,2829.231567
0.0,294,3117.306361
0.0,220,3415.73173
0.0,278,3706.335632
0.0,516,4272.629449
0.0,477,4719.759055
0.0,470,5294.112155
0.0,301,5723.413576
0.0,302,6013.608454
0.0,320,6304.403583
0.0,322,6739.395006
0.0,243,7037.598207
0.0,436,7474.301891
0.0,473,8047.907607
0.0,228,8332.392283
0.0,456,8770.793511
0.0,454,9343.900952
0.0,285,9632.531805
0.0,415,10079.016743
0.0,440,10644.798375
0.0,607,11222.922134
0.0,219,11506.686829
0.0,343,11946.091554
0.0,471,12519.924087
0.0,290,12811.597062
0.0,452,13260.825141
0.0,310,13697.895626
0.0,232,13985.808609
0.0,384,14420.689786
0.0,366,14721.690714
0.0,280,15146.030338
0.0,340,15436.274261
0.0,237,15726.962334
0.0,285,16016.193315
0.0,448,16583.99547
0.0,271,16882.105976
0.0,289,17175.922261
0.0,407,17616.759522
0.0,344,18045.822702
0.0,470,18621.486206
0.0,329,18904.033063
0.0,262,19182.695495
0.0,288,19635.302965
0.0,278,19852.922764
0.0,404,20151.854402
0.0,338,20531.795215
0.0,275,20796.400961
0.0,282,21075.732429
0.0,208,21347.907621
0.0,234,21497.401565
0.0,293,21920.093458
0.0,348,22181.302516
0.0,269,22461.566001
0.0,405,23017.198899
0.0,302,23303.8011
0.0,391,23744.00757
0.0,595,24466.403063
0.0,221,24615.807528
