#{"t_start": 1782659225.3995097, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,524,79.50749
0.0,470,84.578135
0.0,790,93.046304
0.0,1020,103.894225
0.0,483,109.300584
0.0,423,113.712701
0.0,1059,125.221462
0.0,470,129.876624
0.0,289,133.110078
0.0,262,135.885465
0.0,315,139.423701
0.0,633,672.824918
0.0,360,1069.390253
0.0,398,1479.296632
0.0,233,1739.451968
0.0,214,1996.520654
0.0,226,2252.492429
0.0,665,2967.274454
0.0,232,3264.081995
0.0,188,3419.91978
0.0,221,3706.671479
0.0,314,3983.782376
0.0,217,4273.821817
0.0,235,4564.487848
0.0,602,5286.314124
0.0,363,5588.886484
0.0,362,6015.57906
0.0,250,6301.695637
0.0,405,6742.487056
0.0,444,7327.066427
0.0,230,7607.568099
0.0,487,8053.400409
0.0,266,8343.666488
0.0,447,8909.785695
0.0,249,9202.479827
0.0,345,9626.025635
0.0,185,9778.988779
0.0,858,10787.281448
0.0,347,11081.167504
0.0,298,11500.496859
0.0,464,11952.182115
0.0,530,12663.321135
0.0,535,13252.086673
0.0,551,13847.322582
0.0,257,14135.081443
0.0,423,14575.174236
0.0,382,15004.692096
0.0,218,15290.906152
0.0,387,15726.220913
0.0,446,16292.174092
0.0,256,16580.1918
0.0,316,16881.888343
0.0,592,17613.374234
0.0,286,17901.475628
0.0,279,18187.372737
0.0,347,18620.890955
0.0,339,18903.573367
0.0,387,19349.782552
0.0,282,19743.178395
0.0,214,19857.399244
0.0,461,20254.478009
0.0,335,20656.920247
0.0,250,20807.289406
0.0,359,21213.672719
0.0,183,21487.081834
0.0,300,21782.895478
0.0,438,22181.370766
0.0,239,22458.680443
0.0,284,22873.043099
0.0,374,23170.797215
0.0,600,23889.768046
0.0,236,24179.782905
0.0,456,24750.526659
