#{"t_start": 1782659226.9664016, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,669,79.62986
0.0,500,85.11037
0.0,644,92.037381
0.0,704,99.46513
0.0,583,105.723681
0.0,961,116.037552
0.0,985,126.413044
0.0,519,131.849033
0.0,471,137.175855
0.0,581,669.414917
0.0,278,940.307648
0.0,261,1206.014841
0.0,228,1474.801931
0.0,286,1738.208891
0.0,331,2131.799546
0.0,261,2385.600332
0.0,357,2828.432847
0.0,360,3120.730607
0.0,410,3703.826157
0.0,369,4120.320208
0.0,251,4412.825893
0.0,495,4860.899482
0.0,390,5294.075616
0.0,331,5726.503551
0.0,289,6014.717144
0.0,276,6303.507241
0.0,242,6595.425381
0.0,550,7323.920397
0.0,355,7618.539273
0.0,266,7911.601123
0.0,419,8478.706836
0.0,192,8625.999602
0.0,247,8910.801714
0.0,309,9339.807464
0.0,389,9771.701612
0.0,398,10212.103757
0.0,422,10647.158231
0.0,344,11070.010749
0.0,494,11647.718373
0.0,377,12084.838944
0.0,259,12373.620593
0.0,271,12664.200551
0.0,216,12816.002954
0.0,229,13106.698241
0.0,298,13407.543008
0.0,209,13700.711429
0.0,338,14131.314103
0.0,244,14418.925307
0.0,389,14853.108657
0.0,486,15428.6142
0.0,314,15724.308274
0.0,443,16156.626361
0.0,353,16584.006104
0.0,288,16882.733251
0.0,214,17173.308491
0.0,426,17615.300011
0.0,423,18184.322021
0.0,219,18335.320435
0.0,354,18765.909284
0.0,251,19044.59946
0.0,299,19489.117241
0.0,291,19743.90131
0.0,534,20149.909539
0.0,280,20412.51654
0.0,460,20935.20216
0.0,317,21210.614533
0.0,300,21630.199322
0.0,588,22174.698976
0.0,357,22593.92011
0.0,507,23161.008996
0.0,244,23446.115339
0.0,347,23881.002702
0.0,650,24601.934993
0.0,333,24897.815337
