#{"t_start": 1782685234.2834468, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,1294,51.73777
0.0,450,56.301831
0.0,645,62.93585
0.0,335,66.441303
0.0,574,72.486673
0.0,238,75.148233
0.0,470,80.448976
0.0,1053,91.810519
0.0,754,100.110548
0.0,529,105.603482
0.0,231,270.803868
0.0,421,905.101871
0.0,478,1410.281662
0.0,293,1910.50404
0.0,521,2556.891361
0.0,263,2876.496457
0.0,274,3206.699624
0.0,321,3529.185334
0.0,328,4003.4835
0.0,444,4438.282421
0.0,271,4903.801312
0.0,204,5071.303894
0.0,250,5377.385996
0.0,340,5804.383141
0.0,299,6115.990398
0.0,265,6420.498037
0.0,416,6877.282205
0.0,373,7356.515428
0.0,320,7830.809408
0.0,453,8303.188003
0.0,244,8612.085964
0.0,183,8919.985763
0.0,232,9084.889658
0.0,193,9390.492877
0.0,406,9841.832015
0.0,227,10136.615853
0.0,305,10447.814929
0.0,350,10880.609446
0.0,855,11933.193963
0.0,237,12228.590112
0.0,250,12527.796553
0.0,466,12981.499942
0.0,241,13281.38935
0.0,478,13909.495595
0.0,460,14326.228647
0.0,278,14712.540659
0.0,409,15120.384075
0.0,211,15274.940579
0.0,347,15641.12205
0.0,452,16167.907732
0.0,212,16293.296603
0.0,434,16817.406754
0.0,456,17231.00885
0.0,271,17538.686131
0.0,234,17836.390579
0.0,203,18137.123713
0.0,382,18504.120176
0.0,312,18803.033708
0.0,376,19265.492262
0.0,433,19854.561455
0.0,435,20284.836405
0.0,706,21006.790028
0.0,313,21487.2845
0.0,200,21656.525307
0.0,319,22126.013203
0.0,230,22429.507569
0.0,202,22589.988436
0.0,235,22884.09235
0.0,357,23307.400651
0.0,393,23740.994317
0.0,337,24170.257347
0.0,242,24480.712396
0.0,346,24783.685388
