#{"t_start": 1782685234.8739192, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,524,43.371003
0.0,470,48.00144
0.0,790,56.067843
0.0,1020,66.513386
0.0,483,71.771918
0.0,423,76.344315
0.0,1059,88.047013
0.0,470,93.094117
0.0,289,96.608219
0.0,262,99.352476
0.0,315,102.439566
0.0,633,744.099689
0.0,360,1244.117421
0.0,398,1747.398308
0.0,233,2078.609427
0.0,214,2404.126675
0.0,226,2722.301149
0.0,665,3524.131298
0.0,232,3841.200574
0.0,188,4003.29932
0.0,221,4286.322491
0.0,314,4589.399029
0.0,217,4910.714378
0.0,235,5219.109897
0.0,602,5956.092052
0.0,363,6271.624738
0.0,362,6722.299982
0.0,250,7027.02364
0.0,405,7515.801706
0.0,444,8143.099659
0.0,230,8452.893888
0.0,487,8927.530999
0.0,266,9238.729534
0.0,447,9840.233542
0.0,249,10135.718303
0.0,345,10590.939455
0.0,185,10729.416972
0.0,858,11753.593372
0.0,347,12091.405344
0.0,298,12531.120442
0.0,464,12982.197628
0.0,530,13730.621895
0.0,535,14316.89408
0.0,551,14850.544966
0.0,257,15122.841141
0.0,423,15525.719896
0.0,382,15929.403334
0.0,218,16171.711887
0.0,387,16547.799044
0.0,446,17061.557245
0.0,256,17374.828907
0.0,316,17682.31561
0.0,592,18390.015886
0.0,286,18645.110513
0.0,279,18948.394704
0.0,347,19405.411061
0.0,339,19712.620814
0.0,387,20152.799963
0.0,282,20560.102563
0.0,214,20719.208244
0.0,461,21322.923287
0.0,335,21799.900006
0.0,250,21979.422667
0.0,359,22437.916294
0.0,183,22728.114564
0.0,300,23028.792955
0.0,438,23462.024769
0.0,239,23744.001206
0.0,284,24169.476856
0.0,374,24493.124206
