#{"t_start": 1782685235.378977, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,533,42.945585
0.0,381,46.894546
0.0,782,54.793235
0.0,414,58.932669
0.0,451,63.808435
0.0,1189,76.540687
0.0,636,83.305983
0.0,403,576.209962
0.0,536,1237.999238
0.0,324,1577.800371
0.0,251,1914.602326
0.0,247,2242.70058
0.0,213,2562.404394
0.0,217,2873.495198
0.0,419,3366.915327
0.0,439,3848.790367
0.0,525,4437.186623
0.0,337,4910.510348
0.0,253,5222.004707
0.0,278,5520.489758
0.0,358,5962.997676
0.0,418,6420.193286
0.0,350,6873.389451
0.0,395,7353.434067
0.0,298,7677.023422
0.0,253,7993.600844
0.0,336,8457.098464
0.0,426,8926.918619
0.0,258,9237.792137
0.0,266,9544.816969
0.0,347,9987.998139
0.0,359,10443.906971
0.0,352,10875.400083
0.0,490,11441.034639
0.0,424,11933.19767
0.0,408,12376.821274
0.0,539,12980.594165
0.0,211,13278.519018
0.0,324,13586.630442
0.0,243,13915.0266
0.0,421,14457.592541
0.0,689,15122.236264
0.0,332,15516.539246
0.0,475,15928.190569
0.0,261,16175.792148
0.0,338,16544.896599
0.0,176,16698.117697
0.0,227,16942.558086
0.0,285,17231.107585
0.0,300,17677.274228
0.0,525,18272.621742
0.0,525,18798.513808
0.0,222,19099.771816
0.0,326,19409.120053
0.0,621,20147.414985
0.0,341,20559.804369
0.0,425,21000.18791
0.0,262,21325.099729
0.0,296,21654.412694
0.0,545,22425.200951
0.0,471,22884.51007
0.0,325,23305.710764
0.0,245,23603.515377
0.0,514,24171.990052
0.0,289,24487.303784
0.0,202,24775.414777
