#{"t_start": 1782685233.6948235, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,597,45.32461
0.0,395,49.672594
0.0,390,54.098054
0.0,727,62.103429
0.0,452,67.215953
0.0,372,71.277788
0.0,473,76.327212
0.0,352,79.919811
0.0,762,87.811686
0.0,591,93.822963
0.0,409,98.203978
0.0,242,100.743338
0.0,517,106.023898
0.0,369,433.29604
0.0,201,745.616281
0.0,545,1414.473109
0.0,371,1915.079185
0.0,483,2572.375262
0.0,219,2890.187699
0.0,237,3055.646315
0.0,186,3368.67634
0.0,451,3855.299372
0.0,248,4162.985489
0.0,368,4610.67246
0.0,565,5384.196254
0.0,192,5529.334186
0.0,290,5818.678951
0.0,299,6266.585787
0.0,184,6415.306141
0.0,395,6873.178119
0.0,223,7189.405194
0.0,330,7663.681869
0.0,397,8125.971156
0.0,211,8293.799968
0.0,361,8764.399811
0.0,190,9075.317189
0.0,222,9239.781217
0.0,180,9534.085128
0.0,395,9985.992541
0.0,385,10445.486865
0.0,291,10735.285763
0.0,572,11443.090746
0.0,305,11762.116342
0.0,211,12093.13786
0.0,322,12387.463032
0.0,927,13436.492681
0.0,387,13922.594347
0.0,222,14207.804415
0.0,264,14496.986864
0.0,513,15011.790272
0.0,484,15542.799577
0.0,218,15803.596422
0.0,328,16082.507435
0.0,325,16433.68287
0.0,323,16728.498214
0.0,418,17275.203842
0.0,331,17598.420841
0.0,231,17906.107338
0.0,265,18208.634367
0.0,487,18703.388154
0.0,250,19009.381161
0.0,248,19309.312112
0.0,361,19750.77521
0.0,345,20063.306509
0.0,327,20476.674101
0.0,271,20778.475192
0.0,352,21248.092647
0.0,229,21421.173946
0.0,392,22038.77717
0.0,482,22507.707759
0.0,223,22793.950241
0.0,471,23354.770374
0.0,299,23647.128164
0.0,300,23932.380568
0.0,436,24530.487607
