#{"t_start": 1782685233.7759426, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,794,47.465096
0.0,432,52.19099
0.0,703,60.233286
0.0,816,69.106897
0.0,725,77.029392
0.0,512,82.249379
0.0,378,86.210006
0.0,573,92.041845
0.0,290,94.908486
0.0,638,101.426634
0.0,571,745.557185
0.0,273,1082.415498
0.0,298,1415.19069
0.0,351,1915.311624
0.0,609,2735.40583
0.0,364,3211.12083
0.0,253,3524.603665
0.0,225,3693.03247
0.0,713,4607.436261
0.0,238,4924.444663
0.0,207,5226.808659
0.0,313,5528.419796
0.0,250,5815.000814
0.0,429,6272.395436
0.0,238,6567.315921
0.0,302,7015.71029
0.0,255,7335.613765
0.0,381,7674.806323
0.0,257,7987.601012
0.0,402,8598.397675
0.0,237,8769.204042
0.0,323,9237.1975
0.0,339,9680.498684
0.0,335,9988.307417
0.0,344,10445.798057
0.0,481,11019.40689
0.0,222,11149.892589
0.0,248,11451.789507
0.0,286,11943.014122
0.0,367,12246.923105
0.0,275,12682.640433
0.0,505,13278.309733
0.0,222,13435.644344
0.0,226,13741.35163
0.0,660,14496.998757
0.0,315,14875.830492
0.0,466,15296.907304
0.0,387,15668.597727
0.0,278,16075.323312
0.0,310,16313.816392
0.0,298,16582.991241
0.0,362,16975.314713
0.0,280,17283.621351
0.0,321,17745.899437
0.0,386,18206.336739
0.0,458,18569.018851
0.0,239,18859.79776
0.0,604,19603.022332
0.0,273,19908.702847
0.0,194,20192.907372
0.0,297,20478.426651
0.0,307,20783.414309
0.0,224,21090.796817
0.0,397,21576.829176
0.0,226,21886.924752
0.0,429,22356.003141
0.0,294,22787.004931
0.0,261,23078.394886
0.0,492,23639.397108
0.0,403,24071.19601
0.0,326,24375.294718
