#{"t_start": 1782685238.176182, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,414,38.906005
0.0,385,43.121143
0.0,496,48.855432
0.0,313,52.104246
0.0,759,60.504184
0.0,270,63.425638
0.0,524,69.161331
0.0,635,75.835758
0.0,919,85.391128
0.0,714,92.644454
0.0,939,102.399948
0.0,405,578.634632
0.0,523,1242.108531
0.0,643,2076.308671
0.0,226,2403.218646
0.0,327,2731.43098
0.0,240,3047.721855
0.0,520,3685.211775
0.0,615,4442.893444
0.0,431,4923.902427
0.0,194,5224.205516
0.0,494,5806.191574
0.0,276,6111.20307
0.0,246,6403.22105
0.0,217,6565.839673
0.0,290,7011.512055
0.0,261,7335.496868
0.0,219,7509.104451
0.0,497,8131.300472
0.0,337,8598.813085
0.0,223,8913.804556
0.0,417,9382.008346
0.0,224,9675.507131
0.0,458,10132.330722
0.0,227,10441.514296
0.0,459,11013.451311
0.0,394,11438.704091
0.0,464,11946.793198
0.0,471,12537.000752
0.0,317,12832.214011
0.0,310,13276.311962
0.0,417,13737.02742
0.0,313,14197.894444
0.0,232,14350.589281
0.0,290,14738.912867
0.0,428,15142.834625
0.0,368,15537.729103
0.0,343,15941.521077
0.0,284,16192.707614
0.0,273,16429.817826
0.0,443,16850.423345
0.0,557,17588.412787
0.0,242,17896.512105
0.0,314,18204.040147
0.0,297,18445.144727
0.0,240,18702.11542
0.0,274,19011.801185
0.0,486,19601.824112
0.0,397,20058.717075
0.0,354,20474.651666
0.0,363,20920.738101
0.0,507,21565.894037
0.0,439,22046.915301
0.0,417,22635.44762
0.0,496,23085.813587
0.0,246,23358.103126
0.0,444,23919.302089
0.0,454,24371.994677
