#{"t_start": 1782685234.3975103, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,259,40.908741
0.0,476,46.092762
0.0,304,49.721951
0.0,405,54.204638
0.0,414,58.670701
0.0,368,62.713131
0.0,576,69.013456
0.0,412,73.769749
0.0,561,79.411346
0.0,638,85.990463
0.0,391,90.091553
0.0,506,95.214054
0.0,1073,106.292012
0.0,455,584.192426
0.0,603,1411.078891
0.0,344,1748.596304
0.0,296,2240.994371
0.0,218,2412.009282
0.0,343,2892.489144
0.0,272,3212.709691
0.0,302,3686.994757
0.0,577,4299.588638
0.0,429,4771.295343
0.0,620,5530.475193
0.0,321,5966.493709
0.0,588,6570.674012
0.0,465,7188.977292
0.0,282,7511.976338
0.0,283,7828.380997
0.0,314,8287.286945
0.0,269,8604.075667
0.0,660,9388.479233
0.0,393,9840.072693
0.0,282,10137.405669
0.0,250,10448.206986
0.0,514,11024.280393
0.0,191,11294.272609
0.0,280,11602.371181
0.0,377,12094.929379
0.0,216,12383.473692
0.0,299,12685.385363
0.0,226,12978.290114
0.0,285,13281.615087
0.0,219,13586.519841
0.0,255,13916.906254
0.0,219,14066.998957
0.0,216,14351.875417
0.0,459,14876.683112
0.0,555,15423.378594
0.0,259,15664.303966
0.0,259,15952.073538
0.0,561,16573.57343
0.0,407,16970.786885
0.0,329,17282.510129
0.0,603,18057.837146
0.0,296,18327.414006
0.0,439,18852.902253
0.0,411,19310.202139
0.0,434,19761.796967
0.0,233,20060.892768
0.0,475,20626.391399
0.0,468,21243.078266
0.0,773,22195.583517
0.0,316,22504.288578
0.0,588,23228.084314
0.0,678,23924.48278
0.0,545,24533.681422
