#{"t_start": 1782685236.8720667, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,591,42.146163
0.0,777,51.044002
0.0,478,56.353127
0.0,274,59.247611
0.0,465,64.396122
0.0,472,69.308666
0.0,629,76.245176
0.0,469,81.202714
0.0,636,87.798591
0.0,649,94.550835
0.0,477,99.930774
0.0,530,741.642585
0.0,706,1579.627962
0.0,241,1912.809134
0.0,234,2239.198584
0.0,498,2886.63124
0.0,379,3367.428619
0.0,377,3845.728158
0.0,288,4155.118147
0.0,253,4446.096548
0.0,279,4766.59674
0.0,265,5082.796327
0.0,221,5388.725472
0.0,248,5665.909259
0.0,661,6419.644729
0.0,203,6716.70744
0.0,241,6878.994013
0.0,266,7348.193457
0.0,428,7828.396762
0.0,384,8300.417533
0.0,551,8928.068236
0.0,226,9236.712202
0.0,805,10133.807094
0.0,318,10595.311256
0.0,565,11147.409253
0.0,353,11598.408069
0.0,313,11948.9021
0.0,512,12538.105104
0.0,247,12835.001793
0.0,197,13128.304055
0.0,354,13576.735127
0.0,329,13916.130862
0.0,257,14199.422765
0.0,348,14614.212328
0.0,298,14868.017656
0.0,450,15407.510183
0.0,215,15535.239893
0.0,222,15791.865171
0.0,351,16185.02123
0.0,359,16564.400731
0.0,429,16966.044448
0.0,595,17734.799014
0.0,322,18052.49823
0.0,415,18440.070512
0.0,364,18847.294883
0.0,360,19309.212401
0.0,264,19602.701466
0.0,356,20055.921372
0.0,396,20476.129669
0.0,325,20912.115902
0.0,449,21405.949611
0.0,263,21729.507507
0.0,287,22055.712407
0.0,192,22352.32454
0.0,350,22789.400949
0.0,405,23235.205765
0.0,515,23780.802613
0.0,249,24068.442214
0.0,304,24370.828669
0.0,435,24832.60392
