#{"t_start": 1782685234.4051142, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,651,45.475379
0.0,349,49.213932
0.0,539,55.67587
0.0,687,62.882107
0.0,402,67.166493
0.0,845,76.727656
0.0,994,86.710841
0.0,727,94.512481
0.0,357,98.181985
0.0,339,102.136364
0.0,376,432.486138
0.0,303,912.594689
0.0,324,1249.498751
0.0,494,1916.281975
0.0,259,2243.96486
0.0,430,2887.871723
0.0,335,3212.28166
0.0,253,3529.817952
0.0,351,4011.984556
0.0,243,4297.071435
0.0,310,4609.585834
0.0,321,5081.217741
0.0,275,5391.478549
0.0,503,5969.076387
0.0,250,6271.576084
0.0,311,6575.270081
0.0,353,7026.960279
0.0,657,7832.276041
0.0,461,8458.863056
0.0,308,8776.400324
0.0,607,9542.100926
0.0,389,9985.389234
0.0,344,10443.288544
0.0,355,10735.113296
0.0,189,11022.076215
0.0,329,11298.981804
0.0,283,11758.076676
0.0,444,12241.262312
0.0,294,12541.37384
0.0,207,12835.487814
0.0,242,13131.668213
0.0,417,13585.079676
0.0,395,14059.003222
0.0,392,14491.769922
0.0,289,14861.665599
0.0,371,15146.474463
0.0,429,15647.666093
0.0,286,15938.578498
0.0,169,16075.105788
0.0,442,16569.765966
0.0,284,16846.869564
0.0,260,17113.296164
0.0,356,17588.685798
0.0,209,17749.190893
0.0,508,18325.683508
0.0,216,18552.886365
0.0,331,18993.071866
0.0,467,19460.076003
0.0,216,19755.48697
0.0,468,20325.788481
0.0,198,20481.362217
0.0,293,20914.438293
0.0,452,21408.441041
0.0,348,21885.382332
0.0,635,22649.687613
0.0,211,22802.063459
0.0,312,23238.367203
0.0,489,23780.209429
0.0,319,24076.502921
0.0,237,24370.875875
