#{"t_start": 1782685233.8013473, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,448,43.52131
0.0,993,55.100466
0.0,1344,69.391832
0.0,464,74.66934
0.0,394,78.917328
0.0,618,85.400689
0.0,943,95.224258
0.0,621,101.769329
0.0,554,109.304049
0.0,293,429.686233
0.0,404,914.002212
0.0,620,1747.969953
0.0,400,2242.584923
0.0,300,2574.475067
0.0,301,3046.392396
0.0,745,3854.698395
0.0,330,4298.766036
0.0,243,4606.585239
0.0,218,4926.168741
0.0,308,5237.772007
0.0,220,5531.027228
0.0,435,5971.582876
0.0,378,6423.293505
0.0,260,6724.503655
0.0,228,7026.88993
0.0,387,7517.868134
0.0,222,7829.499388
0.0,326,8148.689725
0.0,347,8615.198182
0.0,398,9086.792368
0.0,240,9390.273066
0.0,368,9840.385077
0.0,236,10132.994441
0.0,475,10602.334603
0.0,571,11293.99632
0.0,238,11597.788708
0.0,319,11949.068928
0.0,433,12533.682205
0.0,318,12836.192311
0.0,256,13132.97866
0.0,206,13426.320426
0.0,452,13919.699261
0.0,458,14484.877862
0.0,344,14747.280234
0.0,345,15142.666443
0.0,310,15528.284723
0.0,336,15795.01372
0.0,248,16073.086465
0.0,278,16309.178823
0.0,330,16718.898691
0.0,454,17118.802881
0.0,294,17587.284103
0.0,373,18046.069114
0.0,260,18316.484622
0.0,229,18443.283674
0.0,410,18993.01986
0.0,330,19315.080378
0.0,290,19609.619581
0.0,292,20057.487126
0.0,213,20204.391013
0.0,260,20484.183011
0.0,303,20919.593987
0.0,311,21249.27912
0.0,423,21881.297689
0.0,295,22208.799027
0.0,274,22507.306493
0.0,232,22794.083906
0.0,489,23358.378798
0.0,686,24073.828397
0.0,448,24539.191378
