#{"t_start": 1782685235.0656836, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,658,44.864363
0.0,645,52.271123
0.0,448,57.123976
0.0,422,61.510326
0.0,702,69.249208
0.0,478,74.64991
0.0,323,77.948373
0.0,364,81.708403
0.0,282,84.670413
0.0,621,91.173946
0.0,500,96.414765
0.0,607,103.253819
0.0,287,428.107196
0.0,487,1079.245432
0.0,915,2239.817907
0.0,253,2569.909394
0.0,577,3211.55358
0.0,393,3690.5095
0.0,248,4013.807403
0.0,676,4772.522497
0.0,203,5084.00703
0.0,751,5969.107671
0.0,284,6273.116051
0.0,355,6721.608327
0.0,263,7026.325935
0.0,379,7516.799565
0.0,210,7827.929106
0.0,262,8143.238566
0.0,631,8927.613165
0.0,249,9090.323876
0.0,376,9545.0009
0.0,300,9983.932887
0.0,267,10284.41577
0.0,297,10600.726325
0.0,230,10882.311997
0.0,489,11444.504525
0.0,362,11941.716897
0.0,515,12533.700524
0.0,350,12838.351065
0.0,351,13281.22437
0.0,395,13737.101839
0.0,423,14338.091907
0.0,481,14744.531487
0.0,445,15283.813267
0.0,504,15788.258608
0.0,222,15942.94111
0.0,210,16187.911062
0.0,345,16568.007021
0.0,253,16843.418194
0.0,509,17423.221581
0.0,343,17747.321338
0.0,436,18318.406459
0.0,248,18546.729239
0.0,244,18840.529134
0.0,499,19449.570863
0.0,306,19754.553392
0.0,431,20200.329252
0.0,261,20481.421155
0.0,262,20776.603424
0.0,238,21084.502964
0.0,283,21413.617054
0.0,315,21886.634232
0.0,367,22353.60786
0.0,302,22653.419595
0.0,221,22941.215831
0.0,461,23368.095802
0.0,402,23919.317941
0.0,269,24217.602692
0.0,237,24525.212518
0.0,226,24679.735859
