#{"t_start": 1782713039.491624, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,242,40.688462
0.0,857,50.282299
0.0,606,57.129663
0.0,285,60.31135
0.0,439,65.104198
0.0,432,70.319415
0.0,549,76.308975
0.0,642,83.477655
0.0,551,89.328829
0.0,317,92.884343
0.0,470,98.227437
0.0,888,108.380425
0.0,650,866.890647
0.0,417,1325.68159
0.0,331,1611.432626
0.0,844,2527.815815
0.0,533,2975.218608
0.0,290,3228.299526
0.0,576,3773.100673
0.0,402,4164.102222
0.0,777,4941.623836
0.0,564,5505.220667
0.0,230,5640.177665
0.0,346,6034.606281
0.0,423,6444.245187
0.0,674,7310.685278
0.0,471,7757.778972
0.0,681,8587.915974
0.0,394,9042.177931
0.0,403,9501.299218
0.0,519,10082.993141
0.0,395,10503.086561
0.0,586,11205.193525
0.0,1109,12347.480094
0.0,484,12914.839415
0.0,1232,14403.785727
0.0,756,15243.157717
0.0,313,15511.443326
0.0,292,15766.213499
0.0,621,16473.691464
0.0,495,17079.233352
0.0,775,18057.511105
0.0,505,18597.989925
0.0,564,19169.655177
0.0,809,20193.894264
