#{"t_start": 1782713039.2719727, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,372,42.431299
0.0,661,49.90261
0.0,372,53.913961
0.0,354,57.949161
0.0,845,67.534265
0.0,1426,83.436034
0.0,539,89.237922
0.0,850,98.746078
0.0,377,103.143538
0.0,298,418.13922
0.0,464,873.92704
0.0,544,1603.916783
0.0,403,2031.524836
0.0,1244,3215.045813
0.0,420,3554.804687
0.0,553,4044.159504
0.0,266,4288.69771
0.0,584,4938.196142
0.0,658,5511.227222
0.0,562,6037.503012
0.0,335,6441.202593
0.0,661,7178.399789
0.0,491,7752.901754
0.0,386,8155.705131
0.0,242,8425.700366
0.0,1004,9645.602286
0.0,608,10236.794517
0.0,701,11071.39699
0.0,700,11778.197838
0.0,421,12340.516593
0.0,636,13050.834222
0.0,522,13644.797447
0.0,345,13956.744704
0.0,460,14559.103441
0.0,388,14977.067568
0.0,420,15403.50379
0.0,326,15759.843076
0.0,586,16354.115203
0.0,266,16747.924195
0.0,364,17080.258667
0.0,531,17926.915009
0.0,1049,19025.613024
0.0,260,19294.317293
0.0,364,19730.895987
0.0,350,20049.721993
0.0,299,20470.834057
