#{"t_start": 1782713039.5137508, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,360,42.070467
0.0,360,46.055902
0.0,734,54.36647
0.0,637,61.392792
0.0,554,67.687685
0.0,325,71.573757
0.0,528,77.287587
0.0,407,81.861468
0.0,772,90.268782
0.0,352,94.079775
0.0,794,103.187517
0.0,262,416.47184
0.0,316,725.271609
0.0,693,1469.164724
0.0,845,2416.974088
0.0,537,2854.694111
0.0,604,3454.096955
0.0,711,4050.783177
0.0,506,4549.456022
0.0,177,4791.503153
0.0,588,5299.482794
0.0,619,5897.770183
0.0,309,6294.665176
0.0,962,7318.560919
0.0,1399,8908.862309
0.0,744,9792.167889
0.0,1132,11068.454669
0.0,936,12064.174357
0.0,1573,13802.262937
0.0,873,14842.766536
0.0,864,15760.356239
0.0,300,16028.467545
0.0,843,17074.664306
0.0,707,17939.172002
0.0,824,18882.169635
0.0,827,19740.475486
0.0,564,20470.985603
