n_updates,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
1,-inf,-inf,-inf,-inf,-inf,-inf,
2,-inf,0.0,0.0,-inf,0.0,-inf,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
69,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
70,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
71,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
72,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
73,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
74,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
75,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
76,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
77,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
78,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
79,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
80,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
81,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
82,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
83,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
84,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
85,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
86,0.0,0.0,400.0,0.0,0.0,80.0,178.88543819998318
87,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
88,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
89,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
90,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
91,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
92,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
93,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
94,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
95,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
96,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
97,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
98,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
99,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
100,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
101,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
102,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
103,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
104,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
105,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
106,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
107,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
108,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
109,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
110,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
111,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
112,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
113,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
114,0.0,0.0,400.0,0.0,100.0,100.0,173.20508075688772
115,0.0,0.0,400.0,100.0,100.0,120.0,164.31676725154983
116,0.0,0.0,400.0,100.0,100.0,120.0,164.31676725154983
117,0.0,0.0,400.0,100.0,100.0,120.0,164.31676725154983
