n_updates,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
89,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
90,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
91,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
92,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
93,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
94,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
95,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
96,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
97,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
98,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
99,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
100,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
101,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
102,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
103,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
104,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
105,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
106,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
107,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
108,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
109,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
110,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
111,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
112,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
113,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
114,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
115,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
116,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
117,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
118,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
119,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
120,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
121,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
122,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
123,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
124,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
125,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
126,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
127,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
128,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
129,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
130,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
131,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
132,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
133,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
134,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
135,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
136,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
137,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
138,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
139,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
140,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
141,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
142,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
143,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
144,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
145,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
146,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
147,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
148,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
149,1.0,1.0,2.0,1.0,1.0,1.2,0.4472135954999579
150,,1.0,2.0,,1.0,1.3333333333333333,0.5773502691896257
151,,,,,1.0,1.0,
