n_updates,seed_0,seed_1,seed_2,seed_3,seed_4,mean,std
79,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
80,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
81,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
82,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
83,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
84,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
85,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
86,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
87,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
88,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
89,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
90,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
91,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
92,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
93,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
94,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
95,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
96,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
97,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
98,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
99,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
100,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
101,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
102,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
103,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
104,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
105,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
106,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
107,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
108,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
109,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
110,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
111,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
112,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
113,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
114,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
115,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
116,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
117,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
118,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
119,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
120,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
121,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
122,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
123,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
124,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
125,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
126,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
127,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
128,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
129,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
130,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
131,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
132,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
133,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
134,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
135,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
136,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
137,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
138,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
139,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
140,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
141,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
142,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
143,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
144,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
145,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
146,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
147,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
148,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
149,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
150,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
151,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
152,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
153,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
154,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
155,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
156,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
157,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
158,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
159,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
160,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
161,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
162,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
163,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
164,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
165,1.0,1.0,1.0,0.995,1.0,0.999,0.0022360679774997916
166,,,1.0,0.995,1.0,0.9983333333333334,0.0028867513459481316
167,,,,0.995,,0.995,
168,,,,0.995,,0.995,
