#{"t_start": 1782659225.1771584, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,640,81.025806
0.0,406,85.394062
0.0,360,89.20508
0.0,433,94.117826
0.0,266,97.025054
0.0,545,102.830813
0.0,576,109.309789
0.0,289,112.233563
0.0,465,117.544888
0.0,339,120.94789
0.0,1276,134.905992
0.0,577,141.432504
0.0,950,1066.817376
0.0,364,1475.21331
0.0,389,1855.924118
0.0,236,2131.202054
0.0,265,2385.612906
0.0,369,2829.39477
0.0,258,3114.930398
0.0,398,3563.594977
0.0,241,3843.948273
0.0,334,4122.907889
0.0,338,4557.796944
0.0,288,4854.894881
0.0,509,5433.19866
0.0,277,5722.997769
0.0,366,6150.090063
0.0,328,6578.701414
0.0,384,6997.404094
0.0,412,7429.310395
0.0,227,7709.256657
0.0,487,8159.001526
0.0,360,8573.099463
0.0,308,8995.137346
0.0,227,9150.592826
0.0,582,9854.997067
0.0,398,10287.298593
0.0,353,10711.106272
0.0,323,11020.760216
0.0,333,11438.939703
0.0,281,11738.503198
0.0,322,12158.296515
0.0,208,12313.319121
0.0,490,12879.003636
0.0,438,13458.627712
0.0,322,13757.202685
0.0,307,14049.902386
0.0,402,14612.626239
0.0,427,15048.811223
0.0,306,15336.206131
0.0,265,15621.619068
0.0,288,16021.255222
0.0,357,16306.494878
0.0,346,16735.224561
0.0,322,17170.004818
0.0,328,17468.522043
0.0,433,18042.588462
0.0,490,18480.30067
0.0,365,18901.217219
0.0,365,19327.601504
0.0,379,19719.290923
0.0,246,19923.390005
0.0,215,20117.623135
0.0,251,20356.698058
0.0,596,20891.100863
0.0,285,21298.861465
0.0,435,21731.722238
0.0,268,22001.720971
0.0,249,22261.825094
0.0,210,22539.500399
0.0,299,22825.501981
0.0,468,23377.53482
0.0,323,23679.116824
0.0,694,24538.192355
0.0,270,24826.195269
