#{"t_start": 1782713038.871837, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,394,43.132948
0.0,939,53.41888
0.0,258,56.144007
0.0,639,63.324213
0.0,1045,74.910526
0.0,226,77.525387
0.0,372,81.696934
0.0,368,85.732814
0.0,673,93.03191
0.0,839,102.240699
0.0,290,105.794182
0.0,299,415.716676
0.0,653,1171.80629
0.0,341,1616.907195
0.0,421,2058.723273
0.0,598,2653.210822
0.0,447,2976.527746
0.0,731,3684.401159
0.0,301,3941.213556
0.0,782,4705.22569
0.0,836,5556.401586
0.0,545,6080.304074
0.0,767,6988.008653
0.0,532,7557.902552
0.0,842,8567.310975
0.0,492,9123.696236
0.0,769,9991.725418
0.0,249,10284.527508
0.0,558,10865.297375
0.0,345,11304.509278
0.0,514,11887.210034
0.0,323,12178.088728
0.0,400,12613.202277
0.0,715,13472.394323
0.0,432,13910.320556
0.0,861,14915.537076
0.0,594,15573.799566
0.0,505,16079.299165
0.0,385,16555.51791
0.0,392,16998.220215
0.0,501,17743.210837
0.0,281,18005.415757
0.0,584,18548.816421
0.0,512,19121.42211
0.0,433,19690.204022
