#{"t_start": 1782659223.7905264, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,356,79.900345
0.0,400,84.086685
0.0,606,90.833567
0.0,689,98.624838
0.0,527,104.338338
0.0,924,113.991222
0.0,367,118.08386
0.0,360,122.089985
0.0,243,124.513608
0.0,373,128.638381
0.0,747,136.811462
0.0,200,139.145625
0.0,233,141.889968
0.0,507,559.791267
0.0,411,1066.805448
0.0,538,1601.017383
0.0,225,1853.586509
0.0,251,2132.922905
0.0,269,2387.401587
0.0,251,2690.982487
0.0,286,2969.714852
0.0,268,3268.825835
0.0,376,3708.383133
0.0,347,4123.502347
0.0,260,4416.9063
0.0,214,4570.382944
0.0,355,5006.395725
0.0,403,5441.386969
0.0,293,5872.182909
0.0,268,6162.583768
0.0,231,6309.998567
0.0,499,6894.395901
0.0,477,7478.646029
0.0,228,7762.298826
0.0,275,8056.302358
0.0,487,8631.180793
0.0,354,9061.616317
0.0,212,9212.483553
0.0,460,9784.297494
0.0,360,10219.592002
0.0,451,10655.903756
0.0,228,10940.88503
0.0,553,11508.513661
0.0,267,11801.076963
0.0,448,12373.891423
0.0,404,12809.888179
0.0,269,13103.611026
0.0,302,13404.290732
0.0,315,13843.105855
0.0,315,14135.639278
0.0,279,14561.594645
0.0,281,14852.39604
0.0,492,15426.44806
0.0,185,15576.621706
0.0,312,15871.281838
0.0,315,16298.489827
0.0,338,16733.398542
0.0,542,17326.482888
0.0,401,17757.213496
0.0,337,18186.714445
0.0,823,19043.982558
0.0,267,19349.085802
0.0,474,19860.923925
0.0,293,20068.46395
0.0,644,20690.683652
0.0,421,21122.981273
0.0,321,21546.202398
0.0,224,21830.682403
0.0,253,22080.937786
0.0,382,22508.781444
0.0,723,23236.280911
0.0,474,23817.57827
0.0,384,24246.887704
0.0,417,24686.193485
