#{"t_start": 1782659225.3211586, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,581,80.77754
0.0,298,83.887988
0.0,855,93.387463
0.0,761,101.702062
0.0,1187,114.391535
0.0,1021,125.589661
0.0,368,129.678276
0.0,501,135.063608
0.0,649,142.301939
0.0,503,558.108132
0.0,354,941.460496
0.0,498,1476.377929
0.0,242,1737.056005
0.0,369,2132.868595
0.0,237,2385.971236
0.0,208,2545.547726
0.0,342,2968.575402
0.0,503,3562.570204
0.0,283,3849.190011
0.0,242,4126.747772
0.0,380,4565.705313
0.0,757,5436.64949
0.0,374,5873.385882
0.0,240,6161.662478
0.0,364,6593.565431
0.0,258,6884.547425
0.0,460,7331.355561
0.0,303,7756.656719
0.0,222,7916.147662
0.0,215,8200.265727
0.0,222,8484.861853
0.0,255,8769.157572
0.0,279,9063.652147
0.0,210,9212.974534
0.0,629,9936.459321
0.0,352,10366.36013
0.0,250,10654.30951
0.0,369,11075.985355
0.0,232,11358.76404
0.0,437,11796.368272
0.0,467,12372.848522
0.0,307,12667.749262
0.0,200,12952.864936
0.0,369,13390.767894
0.0,317,13696.57253
0.0,512,14274.255502
0.0,234,14567.464679
0.0,207,14847.664529
0.0,386,15282.746461
0.0,532,15862.861712
0.0,747,16732.281881
0.0,372,17171.849323
0.0,557,17755.451429
0.0,200,17904.590075
0.0,477,18477.503595
0.0,252,18764.080733
0.0,531,19349.769829
0.0,298,19751.064935
0.0,328,19969.27753
0.0,420,20283.716328
0.0,320,20688.422769
0.0,366,21112.783692
0.0,349,21538.392944
0.0,994,22516.056253
0.0,524,23092.755407
0.0,472,23671.989054
0.0,439,24238.745359
0.0,655,24974.5597
