#{"t_start": 1782659227.8848832, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,407,76.564525
0.0,418,80.894584
0.0,531,86.699785
0.0,449,91.834411
0.0,426,96.332676
0.0,1742,115.123628
0.0,365,118.933158
0.0,377,123.10609
0.0,876,132.702234
0.0,434,137.797107
0.0,441,553.102997
0.0,594,1201.108751
0.0,436,1597.508053
0.0,247,1851.716574
0.0,210,2128.695151
0.0,279,2383.697633
0.0,369,2826.605334
0.0,583,3417.488924
0.0,326,3842.404389
0.0,214,3982.305193
0.0,377,4420.486284
0.0,317,4854.410142
0.0,338,5149.428856
0.0,368,5585.884396
0.0,393,6018.483758
0.0,282,6446.614229
0.0,250,6737.015757
0.0,258,7030.785412
0.0,476,7478.104761
0.0,225,7760.156244
0.0,357,8196.398502
0.0,454,8632.287664
0.0,296,9058.88228
0.0,390,9486.791669
0.0,287,9781.498013
0.0,426,10222.790673
0.0,275,10512.396744
0.0,674,11354.793201
0.0,271,11644.304165
0.0,269,11938.804168
0.0,446,12377.807752
0.0,225,12664.205201
0.0,230,12952.128443
0.0,216,13241.983683
0.0,501,13832.410604
0.0,297,14126.68043
0.0,749,14991.085284
0.0,786,15861.702733
0.0,302,16154.307415
0.0,214,16436.693867
0.0,351,16877.51248
0.0,494,17465.20094
0.0,224,17611.920305
0.0,434,18183.087466
0.0,537,18759.005935
0.0,366,19177.008628
0.0,319,19506.53236
0.0,361,19859.505366
0.0,345,20174.399799
0.0,343,20436.094756
0.0,355,20835.582081
0.0,383,21255.983762
0.0,678,21978.582011
0.0,390,22503.522684
0.0,649,23223.013277
0.0,365,23527.43603
0.0,644,24249.1828
0.0,494,24832.501771
