#{"t_start": 1782713037.9068215, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,397,44.489664
0.0,460,49.638003
0.0,923,59.665047
0.0,467,64.886662
0.0,571,71.51277
0.0,738,79.490371
0.0,429,84.133519
0.0,510,89.771124
0.0,497,572.586474
0.0,267,874.99058
0.0,218,1168.564468
0.0,487,1721.960546
0.0,594,2391.679041
0.0,682,2913.758366
0.0,694,3477.002705
0.0,349,3823.678243
0.0,851,4703.262996
0.0,339,4975.163197
0.0,562,5568.38245
0.0,466,5956.689465
0.0,207,6224.983059
0.0,365,6730.367372
0.0,207,6994.766909
0.0,474,7441.673438
0.0,605,8153.285444
0.0,758,8999.078058
0.0,438,9442.665709
0.0,714,10283.470912
0.0,519,10859.296484
0.0,616,11552.163448
0.0,897,12534.212447
0.0,556,13090.177836
0.0,413,13511.265512
0.0,439,14087.174666
0.0,378,14542.063215
0.0,697,15235.47058
0.0,1376,16734.477205
0.0,870,17894.578161
0.0,328,18157.175563
0.0,719,18991.184833
0.0,390,19419.392474
0.0,535,20033.086413
0.0,288,20343.692163
0.0,609,20974.274242
