#{"t_start": 1782713041.5996218, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,1141,48.908384
0.0,1212,62.420443
0.0,479,67.975153
0.0,461,72.967723
0.0,225,75.401413
0.0,665,82.499294
0.0,955,93.196905
0.0,383,97.675217
0.0,387,102.102202
0.0,395,564.371241
0.0,531,1154.468931
0.0,451,1574.878156
0.0,347,1988.085403
0.0,417,2397.603656
0.0,1240,3466.486331
0.0,326,3710.516237
0.0,450,4200.074499
0.0,331,4556.381088
0.0,393,4964.171124
0.0,261,5212.316999
0.0,709,5804.855361
0.0,866,6862.19107
0.0,604,7570.974537
0.0,691,8277.192223
0.0,324,8708.929261
0.0,370,9138.395873
0.0,983,10134.978839
0.0,787,11004.572737
0.0,534,11687.685609
0.0,481,12117.484114
0.0,765,12966.782073
0.0,218,13225.474791
0.0,807,14091.768122
0.0,279,14405.174073
0.0,890,15381.587077
0.0,258,15612.63254
0.0,257,15842.968806
0.0,775,16738.627813
0.0,233,17043.045986
0.0,491,17766.781432
0.0,594,18412.287648
0.0,350,18706.720707
0.0,1023,19878.785816
0.0,333,20331.537835
0.0,422,20726.544761
0.0,210,20970.240044
