#{"t_start": 1782713038.0048018, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,517,45.763834
0.0,387,50.206755
0.0,890,60.008096
0.0,493,65.119886
0.0,718,73.393249
0.0,459,78.5309
0.0,313,81.700177
0.0,204,84.009052
0.0,659,91.184963
0.0,805,100.298922
0.0,483,105.900113
0.0,627,728.461899
0.0,468,1311.16045
0.0,842,2265.612781
0.0,542,2692.037372
0.0,509,3104.996495
0.0,396,3470.125815
0.0,521,3950.587906
0.0,358,4311.770133
0.0,512,4822.495194
0.0,1135,5946.486807
0.0,409,6403.498639
0.0,458,6872.067386
0.0,577,7577.563571
0.0,957,8588.862036
0.0,492,9149.00894
0.0,554,9856.861981
0.0,659,10578.680823
0.0,275,10859.126367
0.0,762,11695.0636
0.0,865,12669.492504
0.0,505,13223.890352
0.0,381,13644.879034
0.0,391,14085.802753
0.0,475,14551.667282
0.0,215,14843.485415
0.0,871,15715.494366
0.0,352,16115.867897
0.0,462,16610.272423
0.0,369,17046.074184
0.0,534,17772.672326
0.0,495,18283.485437
0.0,511,18846.188828
0.0,505,19419.687885
0.0,469,20027.589263
0.0,371,20458.7341
0.0,359,20730.090683
