#{"t_start": 1782713038.3740501, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,1107,51.952579
0.0,486,57.340602
0.0,776,65.815524
0.0,951,76.492713
0.0,399,80.854814
0.0,385,85.035041
0.0,527,90.725221
0.0,505,96.402153
0.0,770,105.306693
0.0,409,568.309826
0.0,928,1572.898876
0.0,254,1851.294459
0.0,267,2141.791395
0.0,302,2402.630997
0.0,1020,3256.024449
0.0,308,3595.244984
0.0,499,4092.393963
0.0,715,4707.794872
0.0,404,5080.734839
0.0,616,5702.816483
0.0,284,5956.222376
0.0,553,6728.194235
0.0,601,7286.394396
0.0,928,8422.221115
0.0,317,8719.091777
0.0,234,9000.333348
0.0,618,9719.819868
0.0,948,10720.327714
0.0,756,11557.723319
0.0,393,11977.108176
0.0,1357,13502.001318
0.0,453,13956.011421
0.0,822,14970.038319
0.0,573,15502.546002
0.0,539,15964.832039
0.0,496,16611.81816
0.0,298,17039.117833
0.0,395,17581.606354
0.0,715,18288.921088
0.0,490,18848.616021
0.0,241,19136.30986
0.0,579,19867.608034
0.0,304,20186.331446
0.0,483,20717.328084
0.0,340,20979.407756
