#{"t_start": 1782713038.006243, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,658,46.760571
0.0,645,53.920084
0.0,448,58.793058
0.0,422,63.276759
0.0,702,71.09119
0.0,478,76.202033
0.0,323,79.597664
0.0,364,83.685036
0.0,282,86.734529
0.0,621,93.595967
0.0,500,99.167188
0.0,607,106.074018
0.0,664,873.368791
0.0,585,1486.604354
0.0,430,2062.089124
0.0,524,2551.305133
0.0,777,3230.984675
0.0,626,3800.763737
0.0,429,4199.386274
0.0,549,4708.567797
0.0,504,5225.284566
0.0,229,5466.767126
0.0,236,5691.571206
0.0,384,6078.188354
0.0,1263,7573.666039
0.0,486,8150.184822
0.0,440,8591.775545
0.0,1016,9756.771569
0.0,313,10050.760958
0.0,362,10470.376168
0.0,489,11036.066499
0.0,500,11603.973055
0.0,521,12171.574979
0.0,370,12602.775232
0.0,541,13178.467451
0.0,389,13611.890224
0.0,590,14335.278534
0.0,663,15031.999732
0.0,982,16075.881924
0.0,392,16524.97523
0.0,318,16786.871692
0.0,767,17862.667916
0.0,259,18113.29807
0.0,318,18509.744509
0.0,572,19070.67586
0.0,512,19638.773904
0.0,640,20376.075043
0.0,320,20753.710447
