#{"t_start": 1782713038.6818047, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,726,46.693567
0.0,455,51.848867
0.0,873,61.590808
0.0,797,70.202048
0.0,2354,95.736641
0.0,249,98.607631
0.0,490,104.117941
0.0,466,570.99229
0.0,307,1022.913576
0.0,599,1638.595322
0.0,875,2555.106472
0.0,455,2972.861586
0.0,355,3237.085077
0.0,593,3804.585472
0.0,803,4566.437354
0.0,371,4972.094045
0.0,724,5690.285542
0.0,689,6385.010142
0.0,904,7438.952269
0.0,544,8149.472989
0.0,347,8430.284493
0.0,421,9034.009077
0.0,791,9895.594245
0.0,243,10184.021401
0.0,297,10466.513368
0.0,611,11164.631091
0.0,500,11738.102213
0.0,1084,12892.825388
0.0,285,13180.793172
0.0,267,13473.706667
0.0,274,13889.80007
0.0,367,14202.383126
0.0,553,14900.586627
0.0,584,15455.427533
0.0,303,15797.287313
0.0,461,16272.702008
0.0,212,16528.122249
0.0,225,16780.31039
0.0,415,17309.634512
0.0,505,17984.603384
0.0,397,18372.196226
0.0,402,18783.216921
0.0,420,19214.604446
0.0,376,19641.809579
0.0,343,20082.728377
