#{"t_start": 1782658068.1596563, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,897,15.464916
0.0,668,20.130594
0.0,436,22.901797
0.0,466,26.113583
0.0,209,27.417274
0.0,632,31.763237
0.0,1148,39.578165
0.0,845,50.297294
0.0,487,60.1475
