metric,value
tcount,12965993
time_elapsed,24982.27000498772
tps,524.2337656107965
best_ret,1400.0
eprew,1360.0
rewtotal,10333500.0
n_rooms,11
rooms,[0;1;2;3;4;5;9;10;11;12;19]
eplen,943.65
epcount,20438
retintmean,0.26890635
rewintmean_norm,0.0025712787
rewintmean_unnorm,0.013018472
retextmean,0.6763028
ev_ext,0.9996644591446966
ev_int,0.8351815938949585
opt_auxloss,0.011630611499999999
opt_ent,2.3891788
opt_approxkl,0.0026782686
opt_clipfrac,0.123046875
