#{"t_start": 1782685233.8775058, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,372,42.416254
0.0,661,49.49656
0.0,372,53.294924
0.0,354,57.346032
0.0,845,66.806169
0.0,1426,82.055461
0.0,539,87.795085
0.0,850,97.222774
0.0,377,101.348842
0.0,398,571.088928
0.0,499,1232.396686
0.0,360,1578.921793
0.0,277,1917.091509
0.0,434,2568.790223
0.0,303,2889.395123
0.0,274,3213.48958
0.0,319,3689.20955
0.0,299,4015.198165
0.0,320,4446.089344
0.0,195,4610.217023
0.0,253,4926.300654
0.0,206,5227.200753
0.0,272,5524.205559
0.0,191,5666.905323
0.0,473,6270.297002
0.0,341,6719.510834
0.0,674,7515.002159
0.0,649,8304.588755
0.0,547,8933.503496
0.0,356,9392.81877
0.0,230,9690.120599
0.0,206,9983.131513
0.0,402,10440.197893
0.0,400,10874.934086
0.0,504,11424.917089
0.0,388,11916.007471
0.0,328,12232.728042
0.0,568,12973.603778
0.0,578,13582.990171
0.0,527,14183.59831
0.0,183,14463.706434
0.0,385,14845.216376
0.0,352,15257.302324
0.0,365,15518.115335
0.0,384,15920.724778
0.0,416,16390.713966
0.0,301,16675.514853
0.0,677,17373.504735
0.0,273,17811.931794
0.0,356,18130.721949
0.0,262,18394.634835
0.0,314,18793.50011
0.0,192,18952.901531
0.0,312,19406.919972
0.0,180,19556.211221
0.0,280,19866.912131
0.0,401,20293.508146
0.0,293,20712.698158
0.0,205,20871.607846
0.0,337,21326.514822
0.0,280,21653.003213
0.0,228,21981.2967
0.0,265,22288.372836
0.0,757,23177.311744
0.0,321,23463.194604
0.0,671,24330.823261
0.0,230,24495.009386
