#{"t_start": 1782685233.672985, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,774,47.062314
0.0,699,54.5277
0.0,497,59.915564
0.0,670,67.258497
0.0,709,75.030216
0.0,705,82.417078
0.0,887,91.936366
0.0,271,94.9429
0.0,615,101.870862
0.0,665,905.445235
0.0,349,1246.001643
0.0,427,1912.52989
0.0,210,2081.634114
0.0,575,2886.01396
0.0,417,3373.291987
0.0,405,3853.300531
0.0,495,4451.009998
0.0,285,4772.44222
0.0,266,5081.196297
0.0,518,5810.641889
0.0,267,6111.106608
0.0,258,6415.305695
0.0,325,6722.402656
0.0,244,7028.106973
0.0,348,7512.921062
0.0,180,7675.940251
0.0,243,7991.937017
0.0,505,8616.74553
0.0,375,9086.803633
0.0,570,9692.1396
0.0,259,9989.324885
0.0,415,10592.326073
0.0,358,10882.002537
0.0,307,11281.99369
0.0,480,11912.19639
0.0,301,12228.804009
0.0,325,12668.394269
0.0,301,12975.118257
0.0,364,13422.500201
0.0,528,14041.909543
0.0,251,14318.822045
0.0,266,14594.807515
0.0,695,15268.31117
0.0,281,15624.511162
0.0,386,16043.625353
0.0,402,16388.5148
0.0,530,16923.000166
0.0,356,17361.386624
0.0,323,17671.44606
0.0,483,18269.418456
0.0,277,18504.631175
0.0,204,18789.907496
0.0,344,19111.42959
0.0,256,19414.631761
0.0,240,19711.096653
0.0,224,20011.013868
0.0,234,20284.706255
0.0,300,20567.764965
0.0,518,21164.868604
0.0,203,21487.996125
0.0,653,22287.823318
0.0,446,22748.50001
0.0,209,23035.099792
0.0,515,23607.39684
0.0,516,24183.094382
0.0,352,24641.126976
0.0,320,24944.107963
