#{"t_start": 1782685234.684925, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,547,43.567908
0.0,939,53.604293
0.0,1023,64.755792
0.0,319,68.396084
0.0,926,78.348316
0.0,254,81.113118
0.0,265,83.929806
0.0,522,89.457903
0.0,512,95.103622
0.0,661,102.384917
0.0,364,430.826013
0.0,169,732.004237
0.0,174,908.499245
0.0,369,1404.482467
0.0,416,1914.182236
0.0,277,2244.287618
0.0,283,2726.001936
0.0,192,2886.687949
0.0,517,3528.823239
0.0,430,4016.613767
0.0,371,4452.68886
0.0,317,4920.896244
0.0,427,5383.544434
0.0,269,5663.694427
0.0,270,5970.88513
0.0,487,6572.089856
0.0,422,7030.185064
0.0,385,7517.329087
0.0,246,7834.196959
0.0,430,8458.894928
0.0,417,8929.823375
0.0,248,9238.995944
0.0,286,9542.802109
0.0,620,10285.315393
0.0,269,10597.117943
0.0,224,10874.192732
0.0,224,11133.021862
0.0,322,11427.091433
0.0,250,11740.712321
0.0,475,12367.992803
0.0,280,12673.711655
0.0,366,13126.10228
0.0,337,13430.711348
0.0,405,14037.315259
0.0,221,14182.400311
0.0,344,14595.484552
0.0,297,14850.295579
0.0,348,15263.403086
0.0,329,15623.906896
0.0,405,16046.69655
0.0,382,16390.913567
0.0,287,16674.583973
0.0,234,16923.697607
0.0,319,17217.807362
0.0,535,17966.668168
0.0,274,18264.690672
0.0,573,18796.690253
0.0,329,19260.004675
0.0,581,19864.804692
0.0,236,20148.34647
0.0,342,20563.398333
0.0,341,20871.985067
0.0,289,21320.598927
0.0,226,21497.321974
0.0,330,21981.919904
0.0,294,22292.598423
0.0,251,22600.830924
0.0,350,23034.312398
0.0,280,23310.403579
0.0,405,23744.3084
0.0,254,24036.498423
0.0,321,24487.808535
0.0,351,24935.834392
