advmean,advstd,best_ret,epcount,eprew,ev_ext,ev_int,int_coeff_effective,mem_available,n_rooms,n_updates,opt_approxkl,opt_auxloss,opt_clipfrac,opt_ent,opt_featvar,opt_gradnorm,opt_maxfeat,opt_maxkl,opt_pg,opt_tot,opt_vf,recent_ext_mean,reset_counter,retextmean,retextstd,retintmean,retintstd,rewintmax_norm,rewintmax_unnorm,rewintmean_norm,rewintmean_unnorm,rewintstd_unnorm,rnd_decay,rooms,tcount,time_elapsed,tps,vpredextmean,vpredextstd,vpredintmean,vpredintstd,wait_step,wait_update,eplen,eprooms,rewtotal
0.60794795,0.2676451,-inf,0,nan,-1.0,-0.0003693103790283203,1.0,930151579648,0,1,0.0034770523,0.5291606,0.37695312,2.8869045,0.41597307,4.2215586,4.2570243,0.010025366,-0.6838603,-0.019529462,0.13805714,0.0,0,-0.0007888953,0.00015946376,0.6071234,0.267572,0.102686614,2.4130666,0.042009167,0.98718727,0.5050407,1.0,[],0,226.4217746257782,18.090183098802697,-0.0009236486,0.0002801583,-0.00055501424,0.00028201437,155.27223587036133,136.6928448677063,,,
0.2555278,0.13313304,0.0,3,0.0,-1.0,-0.029103517532348633,1.0,915625332736,1,2,0.004606573,0.37599194,0.25,2.87998,0.33164498,1.7006001,4.4895515,0.024720106,-0.26791146,0.11893174,0.013731251,0.0,0,0.0013924171,0.0002282282,0.5288801,0.13106821,0.05178074,1.0905867,0.020087829,0.42308235,0.2319955,1.0,[1],679,386.4334714412689,25.5981297905689,0.0015350175,0.00063024485,0.27306712,0.016986422,160.01374006271362,145.20273423194885,226.33333333333334,1.0,0.0
0.2136966,0.12863898,0.0,11,0.0,-1.0,-0.041517019271850586,1.0,901362462720,1,3,0.0025264034,0.39614782,0.13671875,2.8712878,0.39134276,0.23210393,4.304662,0.01423314,-0.27327138,0.12694785,0.0069426945,0.0,0,-0.00019560565,0.00016373413,0.8454162,0.12596071,0.051830664,0.9494774,0.020678585,0.3788076,0.20135868,1.0,[1],3344,530.6210091114044,28.407446457318244,-0.00026252138,0.00032983863,0.6318534,0.023668062,144.0277979373932,130.50390934944153,304.0,1.0,0.0
0.1850501,0.119072676,0.0,19,0.0,-1.0,-0.05212962627410889,1.0,899632680960,1,4,0.0031966926,0.3483946,0.16113281,2.8608212,0.37872458,1.471595,4.7839794,0.015515224,-0.19756675,0.15772563,0.009758594,0.0,0,-0.0003298978,0.000118192365,1.0958459,0.11603272,0.05198072,0.87506986,0.021620918,0.3639775,0.18238695,1.0,[1],7011,692.6711051464081,25.276134282960516,-0.00038362842,0.00023973334,0.9109034,0.025442423,162.0841109752655,143.74713158607483,369.0,1.0,0.0
0.14921743,0.11220553,0.0,29,0.0,-1.0,-0.08812391757965088,1.0,896071675904,1,5,0.0032657227,0.31202447,0.09667969,2.8470325,0.37338507,1.4471153,4.665996,0.045818493,-0.14994457,0.16614905,0.0069161872,0.0,0,-0.0001789806,6.413504e-05,1.3240049,0.107506685,0.050455663,0.80470514,0.02168515,0.34585118,0.17436148,1.0,[1],11379,863.9356153011322,23.916221800440308,-0.00020636516,0.00015258309,1.1748421,0.02904214,171.2070951461792,152.1952121257782,392.37931034482756,1.0,0.0
0.10165324,0.10511978,0.0,41,0.0,0.2512911558151245,-0.11232280731201172,1.0,894047199232,1,6,0.0022571064,0.32269388,0.083984375,2.8334386,0.41442218,0.47460034,4.26792,0.03036726,-0.1275135,0.19691715,0.004570204,0.0,0,-0.0012022174,0.00022070602,1.490545,0.09964131,0.053834006,0.82016087,0.020813182,0.31708872,0.1609604,1.0,[1],17170,1022.2433366775513,25.873660286157392,-0.0014921402,0.00012265494,1.3894718,0.029614666,158.3706452846527,142.81123113632202,418.780487804878,1.0,0.0
0.10123602,0.09819724,0.0,50,0.0,0.11763626337051392,-0.05752062797546387,1.0,894950768640,1,7,0.0021391953,0.28502744,0.1171875,2.8189702,0.3850519,1.46807,4.8183236,0.010461085,-0.08599354,0.2028045,0.0065895757,0.0,0,0.0007587263,0.00014745633,1.6338785,0.09546261,0.0637126,0.934542,0.02212434,0.32452178,0.1487562,1.0,[1],21480,1193.9270944595337,23.857819257259298,0.00090089254,0.00015499834,1.5323582,0.020803818,171.62945103645325,145.86457324028015,429.6,1.0,0.0
0.047720112,0.08481181,0.0,64,0.0,0.9010719805955887,-0.07319223880767822,1.0,892996734976,1,8,0.0007049212,0.24181923,0.0,2.816319,0.3642528,1.2026441,4.411614,0.0032651338,-0.020280479,0.22349702,0.0047745886,0.0,0,-0.00010492653,0.000120685465,1.723273,0.08187017,0.055144563,0.78517944,0.020064585,0.28569084,0.13706228,1.0,[1],26468,1361.715010881424,24.41176870945628,-0.00012849184,0.00014434189,1.6756,0.020825284,167.69744896888733,147.6967329978943,413.5625,1.0,0.0
0.039759636,0.07758927,0.0,77,0.0,0.893048845231533,-0.05218172073364258,1.0,883066101760,1,9,0.0011049001,0.2562014,0.057617188,2.810781,0.41104192,0.40488973,4.207957,0.005253854,-0.04287418,0.21364714,0.0031307165,0.0,0,-0.00011767463,0.00014651533,1.7835755,0.0756338,0.055583347,0.77475303,0.019874893,0.27702785,0.12353698,1.0,[1],31079,1531.0151536464691,24.19371872765532,-0.0001360794,0.00017467665,1.7438526,0.014600389,169.32065081596375,150.59486556053162,403.6233766233766,1.0,0.0
0.024714451,0.075831756,0.0,91,0.0,0.7684882879257202,-0.015892863273620605,1.0,879441690624,1,10,0.0014692012,0.24583705,0.083984375,2.8016405,0.4275606,0.32256687,4.8833957,0.0074628964,-0.021584716,0.22398692,0.0025362268,0.0,0,-0.00016702994,0.00011481021,1.8253926,0.07524761,0.05172515,0.7070874,0.019494241,0.26648802,0.12250457,1.0,[1],35654,1699.8440198898315,24.261253447800325,-0.00021170176,0.00014149769,1.8007674,0.011445922,168.7280237674713,152.03658986091614,391.8021978021978,1.0,0.0
-0.000114916824,0.07114416,0.0,104,0.0,0.6134429574012756,-0.004628777503967285,1.0,883808641024,1,11,0.0012045281,0.23223296,0.03515625,2.7924187,0.43035656,0.058092233,4.389592,0.00913443,-0.0030163522,0.22871716,0.0022929716,0.0,0,-0.00013762148,8.26555e-05,1.8327249,0.07099146,0.050576847,0.6809259,0.01842262,0.24802731,0.11303099,1.0,[1],39845,1871.5293982028961,23.857593732991788,-0.00017964892,0.000104530576,1.8329239,0.008720263,171.67404985427856,156.6115427017212,389.02,1.0,0.0
-0.022221869,0.060445983,0.0,116,0.0,0.6492847800254822,-0.001593470573425293,1.0,884448260096,1,12,0.00076935743,0.21279025,0.0,2.787762,0.42679197,0.17969161,4.8718514,0.0026402033,0.01946019,0.23154756,0.0020848813,0.0,0,-6.740039e-05,6.854492e-05,1.8137007,0.060407866,0.047486335,0.6345003,0.016885404,0.22561848,0.098648675,1.0,[1],43535,2033.6355321407318,25.26739659014916,-8.918985e-05,9.138544e-05,1.8359661,0.007327453,162.09855270385742,146.47820806503296,379.96,1.0,0.0
-0.025701176,0.06284764,0.0,130,0.0,0.37159377336502075,-0.009323835372924805,1.0,871862251520,1,13,0.001451568,0.20458864,0.07714844,2.7798648,0.40094894,0.35071963,4.694483,0.0048549315,0.020228092,0.22468796,0.0026510977,0.0,0,1.8633533e-06,4.953234e-05,1.7858924,0.0625556,0.051291138,0.6815768,0.016409881,0.21806097,0.10228117,1.0,[1],47601,2200.9256291389465,24.484414600132254,-2.044085e-06,7.0236914e-05,1.8116014,0.007591492,167.30124044418335,152.21435952186584,358.96,1.0,0.0
-0.02931327,0.0673743,0.0,147,0.0,0.666479766368866,-0.008864641189575195,1.0,871982747648,1,14,0.0010999278,0.21362007,0.055664062,2.7785769,0.43316904,0.78686285,4.6642766,0.0049795313,0.003868159,0.21850948,0.0037998268,0.0,0,-0.00011894578,9.0185335e-05,1.748729,0.06707419,0.045116533,0.59780693,0.01568189,0.20778954,0.099795006,1.0,[1],52942,2369.417158126831,24.309828399647458,-0.00014097849,0.00010880676,1.7780862,0.008077453,168.47363543510437,153.5299232006073,330.45,1.0,0.0
-0.043522425,0.05895895,0.0,156,0.0,0.4308432340621948,-0.0015221834182739258,1.0,880240918528,1,15,0.0014750187,0.19275385,0.06542969,2.7824814,0.43445945,0.60852915,4.9008694,0.006897895,0.029702516,0.22174808,0.0020741958,0.0,0,-0.00035661578,7.970379e-05,1.7022121,0.058923006,0.045614026,0.60409105,0.014491063,0.1919129,0.090898946,1.0,[1],55438,2526.3564355373383,26.099265584469443,-0.0004410026,7.7783545e-05,1.7459033,0.005454845,156.94440865516663,141.26923441886902,315.02,1.0,0.0
-0.044309236,0.059141897,0.0,172,0.0,0.1952086091041565,-0.005049467086791992,1.0,875822919680,1,16,0.0037641458,0.18368873,0.3623047,2.7737164,0.43726057,0.5355788,4.2713594,0.01812279,0.03439683,0.21690114,0.0015892988,0.0,0,-0.0008421011,0.00017889397,1.6506298,0.059047252,0.039154958,0.5185528,0.014001465,0.18542987,0.09050912,1.0,[1],60564,2688.227677822113,25.30406208038047,-0.0010519231,8.182192e-05,1.6953588,0.006400989,161.85455513000488,146.35434222221375,314.15,1.0,0.0
-0.029322227,0.058987383,0.0,181,0.0,0.44734835624694824,0.012620031833648682,1.0,872673431552,1,17,0.0011581971,0.19595933,0.0,2.7710567,0.4622051,0.79667944,4.553509,0.0037545152,0.008481955,0.20441173,0.0027414965,0.0,0,-0.00039739173,9.182184e-05,1.6146894,0.059381157,0.042672593,0.5644189,0.014347214,0.18976675,0.089135006,1.0,[1],63511,2842.6186900138855,26.530049784650643,-0.0004901015,9.68273e-05,1.644197,0.0046587996,154.3880970478058,137.57836055755615,312.95,1.0,0.0
-0.053386852,0.05129255,0.0,197,0.0,-0.06464803218841553,0.004855930805206299,1.0,872072978432,1,18,0.0020234548,0.15731394,0.21972656,2.777032,0.42043424,0.41435906,4.280362,0.007125934,0.04995512,0.2062465,0.0017544667,0.0,0,0.0005037686,0.00012655384,1.5514858,0.051342066,0.038772784,0.5126615,0.012392872,0.16386104,0.07900767,1.0,[1],68592,3007.032207250595,24.912786144886592,0.00062814506,0.00012883988,1.604624,0.0058523053,164.40372395515442,147.4199333190918,309.46,1.0,0.0
-0.039891545,0.04931527,0.0,209,0.0,-0.04620718955993652,-0.007561683654785156,1.0,879232512000,1,19,0.0010310768,0.14813915,0.0,2.777791,0.43121374,0.09438797,4.8063955,0.00451325,0.0541471,0.2005803,0.0010718429,0.0,0,0.0004427132,0.00010884855,1.5035074,0.04905498,0.048497412,0.64111114,0.012682809,0.1676603,0.07822702,1.0,[1],72226,3170.841945886612,25.004617970388434,0.0005440976,0.00012683068,1.5431962,0.004851412,163.7295651435852,147.1233549118042,309.21,1.0,0.0
-0.038688596,0.05241358,0.0,223,0.0,-0.5702728033065796,0.011890590190887451,1.0,877528670208,1,20,0.0022568041,0.15437669,0.08203125,2.7744458,0.40966207,0.22771777,4.457263,0.015431927,0.04045338,0.19314766,0.0010920386,0.0,0,0.0002243152,7.983906e-05,1.449961,0.052665617,0.036154043,0.47717932,0.012310617,0.16248173,0.07994341,1.0,[1],76933,3330.938441514969,25.58457008145888,0.0002815332,0.000119406126,1.4885352,0.004619913,160.09572458267212,144.7335684299469,311.53,1.0,0.0
-0.046422634,0.046664916,0.0,234,0.0,-1.0,0.024937748908996582,1.0,877212426240,1,21,0.003060272,0.13632345,0.12792969,2.7646167,0.3683865,0.2894901,4.411618,0.02292566,0.04898697,0.18347777,0.00093196554,0.0,0,0.00010719607,7.902752e-05,1.3965156,0.047173098,0.03556414,0.46961975,0.011159368,0.14735797,0.069109865,1.0,[1],80125,3486.9338488578796,26.25718363193817,0.00014109074,0.00014603097,1.4428704,0.003873816,156.06270599365234,138.78029656410217,313.74,1.0,0.0
-0.035623502,0.048211396,0.0,248,0.0,-0.3314107656478882,-0.005427360534667969,1.0,865948360704,1,22,0.001502659,0.12697777,0.1171875,2.7646847,0.39649913,0.1631854,4.399464,0.0057037906,0.05779976,0.1826635,0.0006506426,0.0,0,0.00015029742,9.06069e-05,1.3501782,0.0480148,0.033938058,0.44765535,0.01153357,0.152132,0.07270461,1.0,[1],84660,3649.1163165569305,25.255504050497702,0.00019465438,0.00014232725,1.3857129,0.0041871592,162.10880994796753,143.404052734375,314.4,1.0,0.0
-0.02968641,0.04719643,0.0,254,0.0,-0.28776979446411133,0.01800704002380371,1.0,865486270464,1,23,0.0014939767,0.13765116,0.0390625,2.7723575,0.4162706,0.15140368,4.9502053,0.006992759,0.033347618,0.16929513,0.0010687168,0.0,0,0.00010514473,5.9101534e-05,1.3080671,0.047586523,0.04013585,0.5284077,0.011331357,0.14918275,0.070460305,1.0,[1],86966,3809.6183524131775,25.51992642445207,0.00013403854,9.234453e-05,1.3376956,0.0028992856,160.49857997894287,144.4040265083313,320.06,1.0,0.0
-0.03078227,0.04332004,0.0,262,0.0,0.3249703645706177,-0.0022695064544677734,1.0,865003917312,1,24,0.0020994183,0.13703158,0.10449219,2.7923737,0.42809555,0.30447125,4.295174,0.008176355,0.027557628,0.16268384,0.00088701234,0.0,0,3.7292317e-05,4.7604222e-05,1.2706292,0.04325476,0.033537295,0.44044107,0.010928573,0.14352357,0.06563293,1.0,[1],89978,3971.234670162201,25.343974394259575,4.790457e-05,6.56576e-05,1.3013903,0.0028704482,161.5995683670044,143.99821090698242,327.12,1.0,0.0
