#{"t_start": 1782685237.1778142, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,727,42.84862
0.0,518,48.330546
0.0,474,53.729088
0.0,377,57.793836
0.0,285,60.804285
0.0,578,67.289227
0.0,302,70.625885
0.0,221,72.956994
0.0,467,77.657997
0.0,689,85.415563
0.0,426,89.805581
0.0,225,92.459063
0.0,556,98.489967
0.0,303,102.19304
0.0,483,577.413866
0.0,231,907.105938
0.0,497,1572.614864
0.0,337,2068.848152
0.0,345,2408.620355
0.0,515,3047.931777
0.0,368,3526.992821
0.0,390,4012.299413
0.0,199,4294.214566
0.0,338,4609.305489
0.0,262,4925.494096
0.0,381,5384.832625
0.0,305,5810.109731
0.0,316,6115.299948
0.0,497,6719.012653
0.0,214,7022.989572
0.0,282,7351.990813
0.0,359,7827.942238
0.0,307,8145.523393
0.0,463,8772.644262
0.0,242,9082.823623
0.0,328,9389.808182
0.0,369,9839.031989
0.0,444,10434.688979
0.0,402,10871.532638
0.0,234,11130.606307
0.0,400,11565.890337
0.0,206,11740.790133
0.0,234,12083.505887
0.0,475,12670.322957
0.0,276,12973.397939
0.0,349,13419.817746
0.0,320,13725.430086
0.0,511,14321.516186
0.0,367,14717.089831
0.0,371,15114.342938
0.0,385,15508.811171
0.0,452,16040.273661
0.0,447,16391.112525
0.0,267,16673.893213
0.0,265,16926.689111
0.0,410,17371.91641
0.0,245,17671.52668
0.0,255,17977.417124
0.0,236,18270.587881
0.0,234,18501.008977
0.0,201,18785.897339
0.0,256,19098.010444
0.0,406,19549.39291
0.0,212,19711.410016
0.0,391,20152.489672
0.0,230,20435.494308
0.0,318,20860.189518
0.0,312,21162.087986
0.0,529,21816.425848
0.0,319,22283.514878
0.0,295,22594.625454
0.0,570,23300.593659
0.0,197,23455.793785
0.0,264,23738.991466
0.0,279,24033.84421
0.0,299,24482.517598
0.0,208,24644.108382
0.0,249,24940.30283
