#{"t_start": 1782659227.071288, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,761,80.05094
0.0,604,86.694695
0.0,620,93.403454
0.0,410,97.833924
0.0,439,102.698433
0.0,662,109.703745
0.0,329,113.046535
0.0,355,117.11825
0.0,409,121.434624
0.0,534,127.504101
0.0,441,132.11059
0.0,289,135.000058
0.0,769,933.398444
0.0,475,1339.926657
0.0,347,1736.345749
0.0,384,2132.1079
0.0,214,2382.411409
0.0,240,2544.001852
0.0,484,3105.54547
0.0,673,3944.514557
0.0,355,4232.395818
0.0,186,4509.408007
0.0,600,5069.098727
0.0,198,5341.795156
0.0,324,5757.112926
0.0,257,6034.294622
0.0,207,6186.396949
0.0,350,6609.498552
0.0,271,6895.020277
0.0,227,7209.709794
0.0,277,7492.494342
0.0,185,7641.736019
0.0,294,8066.013736
0.0,260,8343.794908
0.0,314,8634.324374
0.0,894,9630.612465
0.0,273,9927.402358
0.0,479,10491.208227
0.0,407,10902.603434
0.0,459,11470.408087
0.0,221,11608.271957
0.0,333,12039.124715
0.0,277,12319.500566
0.0,216,12600.595682
0.0,479,13165.867163
0.0,270,13454.408119
0.0,544,14038.294208
0.0,450,14603.245043
0.0,257,14882.490725
0.0,332,15172.88332
0.0,300,15577.913923
0.0,214,15728.403338
0.0,431,16295.414198
0.0,593,16881.330898
0.0,942,18040.802549
0.0,356,18332.412766
0.0,220,18617.116369
0.0,214,18892.50538
0.0,466,19338.12103
0.0,252,19636.9004
0.0,301,19936.413637
0.0,397,20244.663592
0.0,275,20524.635234
0.0,323,20790.428685
0.0,711,21622.705403
0.0,523,22161.802295
0.0,546,22730.997252
0.0,262,23012.905905
0.0,272,23434.872274
0.0,490,23878.807386
0.0,309,24302.314859
0.0,251,24588.619904
