#{"t_start": 1782659227.581721, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,372,67.693608
0.0,706,82.853097
0.0,680,90.404336
0.0,326,94.009232
0.0,509,99.514768
0.0,394,103.885021
0.0,459,108.502113
0.0,476,113.706304
0.0,805,122.518141
0.0,223,124.925958
0.0,410,129.224228
0.0,629,136.02696
0.0,320,438.719462
0.0,790,1204.892989
0.0,264,1475.917154
0.0,393,1854.534822
0.0,263,2135.100285
0.0,242,2387.999008
0.0,241,2690.286245
0.0,538,3251.715979
0.0,204,3545.084257
0.0,303,3836.616193
0.0,355,4230.18748
0.0,364,4649.307601
0.0,269,4924.48746
0.0,344,5335.199529
0.0,222,5486.503103
0.0,556,6179.154818
0.0,284,6468.109087
0.0,576,7068.892036
0.0,498,7641.698823
0.0,219,7927.992759
0.0,400,8348.595674
0.0,632,9058.121555
0.0,591,9774.495999
0.0,230,10067.243739
0.0,369,10359.299153
0.0,382,10782.001881
0.0,303,11184.589312
0.0,258,11471.28477
0.0,292,11748.449867
0.0,340,12172.105067
0.0,274,12456.902909
0.0,603,13165.203251
0.0,753,13897.71808
0.0,758,14752.20389
0.0,506,15309.704325
0.0,209,15580.065876
0.0,458,16152.507712
0.0,431,16581.684415
0.0,793,17466.011757
0.0,251,17754.305498
0.0,209,18041.395166
0.0,362,18464.699192
0.0,322,18760.210388
0.0,469,19330.012445
0.0,558,19845.707046
0.0,437,20241.695853
0.0,232,20411.097003
0.0,244,20640.091758
0.0,367,21053.208549
0.0,223,21329.685859
0.0,352,21761.31602
0.0,299,22019.003753
0.0,468,22574.995324
0.0,345,22866.303381
0.0,404,23299.394362
0.0,512,23880.189872
0.0,262,24170.697757
0.0,399,24733.923646
