#{"t_start": 1782659225.6775992, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,1301,87.490609
0.0,594,93.731812
0.0,443,98.629284
0.0,714,106.339002
0.0,782,114.544526
0.0,850,124.033018
0.0,391,128.212872
0.0,408,132.430271
0.0,376,136.454366
0.0,387,140.710122
0.0,453,553.302948
0.0,556,1068.354987
0.0,352,1476.795318
0.0,349,1853.821667
0.0,299,2135.419805
0.0,307,2537.927938
0.0,368,2831.49861
0.0,462,3400.474784
0.0,330,3827.603152
0.0,314,4091.771826
0.0,525,4653.789605
0.0,232,4926.511038
0.0,333,5336.374348
0.0,319,5626.825318
0.0,482,6182.514653
0.0,446,6619.19176
0.0,256,6900.789899
0.0,214,7215.844454
0.0,396,7638.599361
0.0,564,8344.729386
0.0,270,8631.628889
0.0,446,9059.918617
0.0,349,9486.013058
0.0,456,9931.298784
0.0,275,10348.507171
0.0,265,10628.608
0.0,228,10783.489655
0.0,264,11054.012023
0.0,197,11332.429509
0.0,255,11603.090568
0.0,293,11897.795464
0.0,378,12320.763456
0.0,380,12746.101592
0.0,342,13171.101356
0.0,566,13754.646846
0.0,459,14324.698611
0.0,642,15032.906545
0.0,436,15446.800948
0.0,348,15871.898683
0.0,222,16156.091736
0.0,510,16732.526206
0.0,288,17028.921242
0.0,350,17464.603502
0.0,455,17903.022179
0.0,264,18188.60219
0.0,258,18475.925442
0.0,349,18897.500079
0.0,202,19174.700548
0.0,266,19487.796472
0.0,395,19843.435231
0.0,298,20044.331595
0.0,219,20246.941897
0.0,353,20630.894223
0.0,412,21050.189787
0.0,266,21333.402577
0.0,466,21897.390054
0.0,526,22439.047692
0.0,326,22729.128006
0.0,338,23149.609231
0.0,313,23447.199176
0.0,267,23738.39613
0.0,305,24163.098171
0.0,324,24453.505108
0.0,283,24883.106132
