#{"t_start": 1782685234.572847, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,326,41.645738
0.0,430,46.517815
0.0,560,52.707157
0.0,439,56.946343
0.0,468,62.008499
0.0,1185,74.053684
0.0,956,84.62897
0.0,446,89.35291
0.0,538,95.077011
0.0,354,98.993904
0.0,349,428.410126
0.0,722,1413.427875
0.0,623,2241.409572
0.0,261,2567.09679
0.0,519,3202.193164
0.0,339,3520.999683
0.0,221,3839.801915
0.0,297,4269.224905
0.0,359,4571.612079
0.0,247,4873.99859
0.0,409,5336.59741
0.0,283,5743.918219
0.0,223,5903.852819
0.0,217,6178.797017
0.0,500,6757.392016
0.0,367,7212.202205
0.0,245,7522.327953
0.0,546,8143.805923
0.0,304,8458.901548
0.0,333,8928.003468
0.0,390,9386.215711
0.0,355,9830.794235
0.0,277,10130.595751
0.0,228,10432.094268
0.0,179,10583.115217
0.0,231,10852.212893
0.0,470,11383.505207
0.0,295,11687.639572
0.0,236,12013.794738
0.0,351,12443.191194
0.0,370,12749.125308
0.0,471,13310.560199
0.0,488,13917.550863
0.0,284,14206.79702
0.0,256,14494.994173
0.0,234,14746.64876
0.0,304,15015.594179
0.0,525,15546.62396
0.0,394,16074.539202
0.0,237,16201.966557
0.0,209,16433.739012
0.0,764,17279.056841
0.0,300,17599.03565
0.0,200,17904.411541
0.0,547,18440.518857
0.0,679,19151.521354
0.0,344,19587.597039
0.0,199,19883.60984
0.0,402,20308.214248
0.0,221,20593.893189
0.0,508,21195.315544
0.0,306,21512.693149
0.0,196,21672.296965
0.0,303,22146.41619
0.0,361,22592.73069
0.0,319,22891.777813
0.0,264,23184.907329
0.0,460,23738.712921
0.0,339,24036.910911
0.0,352,24494.909873
0.0,358,24940.611006
