#{"t_start": 1782685234.4828122, "env_id": "MontezumaRevengeNoFrameskip-v4"}
r,l,t
0.0,520,44.189929
0.0,763,52.564381
0.0,757,59.935858
0.0,426,64.642564
0.0,1069,75.511017
0.0,822,84.631976
0.0,520,90.436466
0.0,508,95.851115
0.0,487,100.840241
0.0,351,428.607682
0.0,186,734.296662
0.0,694,1580.514566
0.0,636,2407.591322
0.0,321,2880.122019
0.0,369,3210.393931
0.0,386,3686.8085
0.0,261,4128.030856
0.0,477,4570.001705
0.0,288,5021.332819
0.0,364,5335.292585
0.0,376,5755.485417
0.0,410,6183.318635
0.0,578,6910.984591
0.0,432,7370.296354
0.0,335,7835.321116
0.0,289,8144.892812
0.0,349,8607.815009
0.0,217,8923.109941
0.0,277,9233.799132
0.0,297,9535.393426
0.0,666,10281.197731
0.0,264,10584.986264
0.0,497,11108.996454
0.0,323,11528.588733
0.0,282,11839.294186
0.0,309,12169.330182
0.0,274,12589.409545
0.0,517,13163.348625
0.0,253,13452.993813
0.0,413,13917.223208
0.0,429,14352.004928
0.0,676,15016.623272
0.0,237,15295.787808
0.0,508,15808.523754
0.0,701,16575.806178
0.0,486,17113.52126
0.0,394,17591.596929
0.0,383,18052.428618
0.0,315,18322.305706
0.0,228,18550.509746
0.0,724,19429.599777
0.0,486,19893.427665
0.0,235,20181.407484
0.0,609,20903.798743
0.0,397,21354.728472
0.0,558,21991.732001
0.0,321,22444.801792
0.0,223,22740.215169
0.0,435,23184.029839
0.0,650,23887.097734
0.0,451,24488.642307
0.0,243,24776.212334
